"LIVE ELECTIONS MAY 2012",,,,,,,,,,,,,
"First Preference By Ballot Box Report",,,,,,,,,,,,,
"Ward 12 Partick West",,,,,,,,,,,,,
04/05/2012,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"BOX 236","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",49,12,18,9,5,0,2,2,0,0,0,1,0
"Martin BARTOS",39,33,60,19,7,2,1,0,0,0,0,0,0
"Nicholas Alexander BLACK",0,4,4,6,0,4,0,3,3,0,0,0,0
"Aileen COLLERAN",56,37,21,18,4,3,1,0,0,0,0,0,1
"Feargal DALTON",92,33,27,6,6,2,0,0,0,0,0,0,0
"CATHERINE FINDLAY",0,6,12,0,3,2,4,0,2,0,1,0,0
"ROBERT FINDLAY",1,4,7,6,1,3,3,2,0,3,0,0,0
"Andrew GRAY",5,4,9,11,3,2,1,1,1,1,2,0,0
"Stuart James MASKELL",1,8,7,8,0,1,0,1,1,0,0,2,0
"Kenny MCLEAN",22,93,24,15,4,2,0,0,0,0,0,0,0
"James PARIS",22,20,30,14,9,1,0,3,0,0,0,0,0
"Michael Graeme SHANKS",23,43,19,13,7,3,1,0,0,0,1,0,0
"Donald WILLIAMSON",7,3,3,4,5,3,4,0,1,0,0,1,3
"BOX 237","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",67,18,23,9,3,3,0,0,0,1,0,0,0
"Martin BARTOS",51,35,69,20,0,2,0,1,0,0,0,0,0
"Nicholas Alexander BLACK",1,2,3,5,1,1,1,3,0,1,0,0,0
"Aileen COLLERAN",66,33,14,11,2,2,2,0,0,0,0,0,0
"Feargal DALTON",92,41,15,6,6,0,0,0,0,0,1,1,1
"CATHERINE FINDLAY",0,13,7,3,3,0,2,1,0,0,0,0,0
"ROBERT FINDLAY",1,3,10,5,5,2,0,0,2,0,0,0,0
"Andrew GRAY",2,12,9,5,0,0,0,1,0,1,1,0,0
"Stuart James MASKELL",7,9,6,5,1,1,1,0,1,0,2,0,0
"Kenny MCLEAN",27,87,25,9,2,1,1,0,0,1,0,2,1
"James PARIS",32,30,37,25,9,0,1,1,0,0,0,0,0
"Michael Graeme SHANKS",20,56,22,12,5,4,1,0,1,0,0,0,0
"Donald WILLIAMSON",6,7,12,4,2,0,1,0,0,0,0,1,1
"BOX 238","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",81,30,33,11,5,3,1,2,2,0,1,0,1
"Martin BARTOS",67,51,95,18,13,1,1,0,2,1,0,0,0
"Nicholas Alexander BLACK",2,3,8,7,5,2,2,4,1,1,0,0,0
"Aileen COLLERAN",91,38,29,15,7,4,1,2,0,1,1,2,0
"Feargal DALTON",130,49,21,15,3,1,2,0,1,1,0,2,1
"CATHERINE FINDLAY",1,11,7,13,5,4,1,2,1,3,1,0,0
"ROBERT FINDLAY",0,3,11,7,5,4,4,1,2,1,2,1,0
"Andrew GRAY",2,2,10,8,7,1,0,3,3,2,2,0,0
"Stuart James MASKELL",2,3,7,8,5,4,0,0,0,0,2,2,1
"Kenny MCLEAN",42,128,34,14,4,2,1,3,1,0,1,0,2
"James PARIS",58,65,38,14,3,5,1,0,0,0,1,1,0
"Michael Graeme SHANKS",16,71,34,29,6,4,4,0,0,0,0,0,3
"Donald WILLIAMSON",10,7,9,2,3,0,3,0,1,3,0,1,0
"BOX 239","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",65,18,17,4,1,2,0,0,2,0,0,0,1
"Martin BARTOS",39,30,57,10,6,2,0,0,0,0,0,0,0
"Nicholas Alexander BLACK",1,1,6,3,3,3,1,2,0,1,0,0,0
"Aileen COLLERAN",49,28,14,12,3,1,1,2,0,0,0,0,0
"Feargal DALTON",57,30,11,10,4,2,0,0,0,0,0,0,0
"CATHERINE FINDLAY",0,6,6,3,3,0,2,0,0,1,2,1,0
"ROBERT FINDLAY",0,2,4,4,1,2,0,1,0,1,2,2,0
"Andrew GRAY",0,4,5,6,3,3,1,1,0,1,0,0,0
"Stuart James MASKELL",1,4,4,6,1,0,0,0,1,1,0,0,3
"Kenny MCLEAN",13,55,21,13,4,0,0,0,1,0,0,0,0
"James PARIS",22,34,17,16,9,3,2,1,0,0,1,0,0
"Michael Graeme SHANKS",25,33,16,13,4,3,1,0,1,0,0,0,0
"Donald WILLIAMSON",2,4,5,6,0,2,0,0,1,1,0,2,1
"BOX 240","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",52,16,17,9,7,1,1,2,0,2,2,0,0
"Martin BARTOS",57,40,59,14,3,6,2,0,1,0,0,0,0
"Nicholas Alexander BLACK",1,1,2,6,8,4,2,2,1,0,1,0,0
"Aileen COLLERAN",45,53,28,15,8,1,2,0,0,0,0,0,2
"Feargal DALTON",78,35,17,16,4,1,1,0,0,1,0,2,2
"CATHERINE FINDLAY",0,10,6,5,1,2,1,4,1,1,0,1,1
"ROBERT FINDLAY",0,1,12,5,2,2,2,0,5,1,0,1,1
"Andrew GRAY",1,5,13,14,1,4,3,3,2,1,1,2,0
"Stuart James MASKELL",3,3,5,1,6,1,1,4,0,2,3,0,1
"Kenny MCLEAN",20,65,27,13,6,1,0,1,1,0,0,2,2
"James PARIS",34,37,31,21,6,2,2,0,0,1,1,1,0
"Michael Graeme SHANKS",49,49,18,11,6,8,1,0,0,0,1,1,0
"Donald WILLIAMSON",5,5,9,8,2,2,2,0,1,1,1,0,1
"BOX 241","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",42,24,17,9,3,6,2,1,0,0,0,0,1
"Martin BARTOS",42,42,54,15,12,4,2,2,0,2,1,0,0
"Nicholas Alexander BLACK",1,0,3,6,6,1,4,4,1,2,2,1,0
"Aileen COLLERAN",40,49,27,17,10,6,0,2,1,1,1,0,1
"Feargal DALTON",80,38,21,13,6,0,0,0,1,0,1,0,0
"CATHERINE FINDLAY",1,8,9,2,3,2,3,1,2,3,0,2,0
"ROBERT FINDLAY",0,4,8,5,2,2,3,2,3,3,2,0,1
"Andrew GRAY",2,3,8,7,3,0,3,2,4,2,3,1,1
"Stuart James MASKELL",1,4,4,4,4,2,2,3,3,0,0,4,2
"Kenny MCLEAN",32,67,33,9,6,2,1,0,0,0,2,0,0
"James PARIS",38,33,32,30,6,10,0,2,0,1,0,0,1
"Michael Graeme SHANKS",47,35,21,23,9,1,1,1,1,1,0,1,0
"Donald WILLIAMSON",3,2,6,1,2,1,3,0,2,0,2,4,5
"BOX 242","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",5,3,3,2,1,0,1,0,1,0,0,0,2
"Martin BARTOS",19,13,27,5,6,2,1,0,0,0,0,2,0
"Nicholas Alexander BLACK",0,3,5,1,0,2,0,2,1,0,2,0,0
"Aileen COLLERAN",80,21,9,5,2,1,2,0,0,0,0,0,0
"Feargal DALTON",90,26,9,1,1,1,0,0,0,3,0,0,0
"CATHERINE FINDLAY",2,2,6,2,0,0,0,0,2,0,0,1,0
"ROBERT FINDLAY",1,3,2,5,1,0,0,2,0,0,0,0,1
"Andrew GRAY",5,5,13,10,0,0,0,1,0,0,1,0,0
"Stuart James MASKELL",0,0,2,1,1,0,3,0,0,1,0,1,0
"Kenny MCLEAN",12,76,16,6,1,2,0,1,0,0,1,0,0
"James PARIS",6,7,19,4,4,0,0,0,0,0,0,0,0
"Michael Graeme SHANKS",27,55,16,12,3,2,0,1,0,0,0,0,0
"Donald WILLIAMSON",2,3,10,1,1,0,0,0,0,0,0,0,1
"BOX 243","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",8,4,7,1,4,1,1,0,1,0,0,1,1
"Martin BARTOS",16,10,38,11,3,4,2,0,0,1,0,1,1
"Nicholas Alexander BLACK",0,3,4,5,4,2,2,0,1,0,1,0,1
"Aileen COLLERAN",81,33,16,6,3,0,1,0,0,1,0,0,0
"Feargal DALTON",56,30,9,7,0,3,0,2,1,0,0,1,2
"CATHERINE FINDLAY",5,10,3,1,4,0,1,2,2,1,1,1,0
"ROBERT FINDLAY",7,6,3,5,0,2,0,0,2,0,2,1,0
"Andrew GRAY",1,8,12,7,3,1,1,0,0,3,0,1,0
"Stuart James MASKELL",4,2,8,2,0,0,1,2,0,2,1,0,2
"Kenny MCLEAN",24,55,18,3,3,2,0,1,0,0,0,1,1
"James PARIS",9,8,13,8,1,3,1,0,0,0,1,1,0
"Michael Graeme SHANKS",38,60,16,13,4,0,0,0,1,0,0,0,0
"Donald WILLIAMSON",7,3,7,3,2,3,1,2,1,0,2,0,0
"BOX 244","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",17,6,9,3,0,1,0,1,0,0,2,3,0
"Martin BARTOS",20,21,46,8,4,1,1,0,0,0,1,0,0
"Nicholas Alexander BLACK",1,1,5,3,2,3,2,1,1,1,0,0,0
"Aileen COLLERAN",86,32,27,11,1,2,0,0,1,1,0,1,0
"Feargal DALTON",97,32,12,4,1,2,0,0,0,1,0,1,1
"CATHERINE FINDLAY",0,8,6,3,3,0,2,0,2,0,0,0,1
"ROBERT FINDLAY",0,3,7,5,4,2,0,2,0,2,0,0,0
"Andrew GRAY",2,4,15,8,4,2,1,1,1,0,1,0,0
"Stuart James MASKELL",2,3,6,6,0,1,2,1,0,1,0,0,1
"Kenny MCLEAN",34,84,16,4,2,3,1,0,0,0,3,0,0
"James PARIS",14,14,16,11,7,0,2,0,1,0,0,0,1
"Michael Graeme SHANKS",35,70,15,16,6,0,1,1,0,0,0,0,1
"Donald WILLIAMSON",4,5,7,2,2,2,0,1,2,1,0,2,1
"BOX 245","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",32,9,7,4,2,1,0,1,1,1,3,1,1
"Martin BARTOS",59,24,63,22,8,1,2,1,0,2,0,1,0
"Nicholas Alexander BLACK",1,2,5,5,4,2,1,4,0,2,0,0,0
"Aileen COLLERAN",70,67,24,17,6,0,1,0,0,0,0,1,0
"Feargal DALTON",96,51,30,14,5,2,1,1,1,1,0,0,2
"CATHERINE FINDLAY",3,9,6,2,1,2,0,1,2,1,2,1,2
"ROBERT FINDLAY",0,4,7,3,1,1,3,1,0,1,2,2,2
"Andrew GRAY",6,9,25,16,4,4,2,0,1,2,1,1,1
"Stuart James MASKELL",4,1,2,8,2,0,2,1,3,1,0,2,1
"Kenny MCLEAN",52,93,34,12,5,4,0,0,2,0,0,2,0
"James PARIS",13,22,28,13,6,7,0,3,1,0,1,0,0
"Michael Graeme SHANKS",60,64,29,18,8,0,1,0,0,0,0,0,1
"Donald WILLIAMSON",1,2,8,4,2,3,4,1,2,2,2,0,0
"BOX 246","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",48,18,15,11,2,1,1,1,1,0,0,0,1
"Martin BARTOS",89,40,82,24,8,1,2,0,1,0,1,0,0
"Nicholas Alexander BLACK",0,4,5,7,8,3,1,5,0,0,0,0,0
"Aileen COLLERAN",51,88,34,13,7,3,0,3,0,0,0,1,2
"Feargal DALTON",57,98,22,13,3,4,3,0,1,0,1,0,0
"CATHERINE FINDLAY",2,10,8,3,3,2,3,0,2,1,1,1,0
"ROBERT FINDLAY",0,2,11,7,6,2,1,2,0,2,1,1,1
"Andrew GRAY",4,5,14,20,6,2,2,0,1,1,1,2,0
"Stuart James MASKELL",3,5,9,4,0,3,1,1,1,2,1,1,0
"Kenny MCLEAN",95,72,31,11,5,3,1,1,0,1,0,0,1
"James PARIS",21,20,42,24,10,4,5,0,1,0,0,0,0
"Michael Graeme SHANKS",72,49,34,22,9,5,1,0,1,0,1,1,1
"Donald WILLIAMSON",1,5,11,7,4,2,0,0,2,1,1,1,2
"BOX 247","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",40,12,18,5,2,0,0,2,0,1,1,0,0
"Martin BARTOS",61,41,43,16,5,1,0,0,0,1,0,0,0
"Nicholas Alexander BLACK",1,1,5,2,2,3,1,1,0,0,0,0,0
"Aileen COLLERAN",43,50,19,12,13,2,1,1,0,0,1,0,0
"Feargal DALTON",44,63,23,10,5,1,2,0,0,0,0,1,1
"CATHERINE FINDLAY",1,7,10,5,2,2,0,0,0,1,1,1,0
"ROBERT FINDLAY",1,1,4,4,3,0,2,0,1,1,0,0,1
"Andrew GRAY",3,5,6,14,5,1,2,1,2,0,0,0,0
"Stuart James MASKELL",2,6,4,5,2,2,0,1,1,0,0,0,2
"Kenny MCLEAN",53,44,33,8,4,0,4,1,0,1,1,0,0
"James PARIS",19,22,25,11,4,10,2,0,0,0,0,0,1
"Michael Graeme SHANKS",44,35,18,13,1,7,2,0,1,0,1,0,0
"Donald WILLIAMSON",2,2,4,5,2,1,1,0,0,0,0,3,0
"BOX 248","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",51,16,12,4,2,1,3,0,1,0,0,0,1
"Martin BARTOS",72,47,56,18,4,1,1,1,2,0,0,0,0
"Nicholas Alexander BLACK",0,2,4,5,0,1,1,4,0,0,0,0,0
"Aileen COLLERAN",42,52,22,10,9,4,1,0,0,1,0,1,0
"Feargal DALTON",59,61,22,15,2,0,2,0,0,0,1,1,0
"CATHERINE FINDLAY",1,6,4,3,1,2,0,1,2,0,0,0,0
"ROBERT FINDLAY",1,2,5,4,3,1,1,0,1,2,0,0,0
"Andrew GRAY",3,1,8,4,4,3,1,0,1,2,0,0,1
"Stuart James MASKELL",1,4,4,3,0,1,1,0,0,1,3,0,0
"Kenny MCLEAN",50,53,22,7,6,3,0,0,0,0,0,2,1
"James PARIS",35,39,35,12,6,2,1,1,0,0,0,1,0
"Michael Graeme SHANKS",34,38,21,13,8,1,0,0,1,0,1,0,0
"Donald WILLIAMSON",1,4,12,2,4,2,0,2,0,1,0,0,2
"BOX 249","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",14,6,11,6,1,1,0,1,1,1,1,0,0
"Martin BARTOS",46,17,50,13,5,4,1,1,0,0,0,0,0
"Nicholas Alexander BLACK",1,1,8,1,4,5,1,1,0,0,2,0,0
"Aileen COLLERAN",44,77,20,8,2,1,0,1,0,3,0,1,0
"Feargal DALTON",64,93,17,14,2,1,1,0,0,0,1,2,0
"CATHERINE FINDLAY",2,1,2,5,1,1,2,0,1,1,0,1,0
"ROBERT FINDLAY",1,3,1,2,2,0,3,2,0,1,1,0,0
"Andrew GRAY",6,18,18,9,3,1,1,2,1,2,2,1,0
"Stuart James MASKELL",0,5,3,3,2,0,1,2,4,0,0,0,1
"Kenny MCLEAN",92,58,19,9,2,4,0,0,0,1,0,1,2
"James PARIS",9,8,14,13,5,0,1,1,0,0,1,0,1
"Michael Graeme SHANKS",67,39,27,9,4,1,1,1,1,0,0,1,2
"Donald WILLIAMSON",1,2,7,3,1,1,2,0,1,0,1,1,2
"BOX 250","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",14,3,6,5,1,1,0,1,0,0,0,0,0
"Martin BARTOS",31,25,40,14,3,2,0,0,0,0,0,0,0
"Nicholas Alexander BLACK",0,3,5,6,2,0,0,0,1,0,0,0,0
"Aileen COLLERAN",51,47,14,10,0,4,1,0,0,0,0,0,0
"Feargal DALTON",32,54,14,5,4,1,0,0,0,0,0,1,0
"CATHERINE FINDLAY",3,3,13,3,3,1,0,0,1,0,1,0,0
"ROBERT FINDLAY",1,7,3,5,2,3,2,0,0,0,0,1,0
"Andrew GRAY",8,5,12,14,4,0,1,1,0,0,0,0,0
