"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 10 Anderston-City",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 192 & 193","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","60","25","62","19","11","1","0","0","1","0","0"
"David Scott BARNES","12","7","7","6","1","3","0","1","0","0","4"
"Philip BRAAT","127","34","15","11","6","3","1","0","0","2","0"
"Graham CAMPBELL","6","12","11","6","3","3","2","1","0","0","4"
"Martin John DOCHERTY","81","47","27","16","4","0","1","0","0","0","0"
"Rob HARRIS","5","10","14","7","2","5","2","1","3","2","0"
"Ewan HOYLE","8","10","20","8","5","9","4","1","0","0","0"
"Craig MACKAY","22","74","35","19","7","2","0","0","0","0","0"
"Gordon MATHESON","11","81","21","10","10","2","2","1","3","0","0"
"Alexander MCDOWELL","2","3","12","8","2","1","1","4","1","1","0"
"John Moir Bingham ROBERTSON","0","2","2","0","2","1","0","2","1","4","1"
"BOX 194","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","37","27","36","12","3","2","0","0","0","0","0"
"David Scott BARNES","11","2","8","4","0","1","0","1","0","0","2"
"Philip BRAAT","92","22","15","9","1","1","1","0","0","1","0"
"Graham CAMPBELL","6","2","11","12","1","3","0","0","0","1","1"
"Martin John DOCHERTY","63","26","9","2","4","1","0","0","2","0","0"
"Rob HARRIS","1","6","9","2","3","0","1","2","1","1","0"
"Ewan HOYLE","4","8","14","7","7","1","1","0","0","1","0"
"Craig MACKAY","13","56","20","10","1","3","0","1","0","1","0"
"Gordon MATHESON","4","60","22","12","7","2","1","0","0","0","1"
"Alexander MCDOWELL","1","1","7","8","3","3","2","0","0","0","0"
"John Moir Bingham ROBERTSON","0","0","1","0","1","1","1","1","2","0","1"
"BOX 195","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","35","27","48","12","5","0","0","0","1","1","0"
"David Scott BARNES","4","3","1","5","2","1","1","1","1","1","3"
"Philip BRAAT","103","27","11","11","1","3","0","0","0","1","0"
"Graham CAMPBELL","13","4","14","11","2","6","1","1","2","1","0"
"Martin John DOCHERTY","49","29","22","5","3","1","1","0","1","0","2"
"Rob HARRIS","4","2","7","5","8","1","1","1","1","0","2"
"Ewan HOYLE","6","8","8","8","5","3","0","1","1","0","0"
"Craig MACKAY","11","43","25","16","4","1","1","1","0","3","0"
"Gordon MATHESON","9","73","11","9","8","2","3","0","1","0","0"
"Alexander MCDOWELL","0","0","3","4","1","3","4","4","1","0","0"
"John Moir Bingham ROBERTSON","0","0","2","2","0","0","2","1","0","2","2"
"BOX 196 & 198","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","47","33","61","16","5","3","3","2","2","1","0"
"David Scott BARNES","14","10","14","5","2","3","2","1","2","1","1"
"Philip BRAAT","161","37","21","10","4","1","0","2","2","0","0"
"Graham CAMPBELL","2","8","13","7","1","3","3","4","0","4","1"
"Martin John DOCHERTY","82","31","24","10","6","0","2","1","1","0","1"
"Rob HARRIS","5","6","6","11","3","4","3","1","2","0","3"
"Ewan HOYLE","10","17","19","11","8","3","2","0","1","0","1"
"Craig MACKAY","19","82","30","16","2","2","0","1","1","1","1"
"Gordon MATHESON","9","97","28","16","6","3","1","1","1","1","0"
"Alexander MCDOWELL","1","3","8","8","6","4","1","3","1","3","0"
"John Moir Bingham ROBERTSON","1","1","5","2","3","1","3","1","3","3","4"
"BOX 197","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","33","34","48","9","8","2","0","0","0","0","0"
"David Scott BARNES","11","7","8","6","5","1","0","0","1","3","1"
"Philip BRAAT","113","32","13","12","2","2","0","0","1","0","0"
"Graham CAMPBELL","4","4","12","6","3","1","0","0","1","1","0"
"Martin John DOCHERTY","58","32","15","5","7","1","0","0","0","0","0"
"Rob HARRIS","2","3","2","5","3","2","2","0","1","0","0"
"Ewan HOYLE","3","12","15","9","3","4","0","3","0","0","0"
"Craig MACKAY","10","38","27","16","3","0","2","0","0","0","0"
"Gordon MATHESON","7","60","16","14","2","1","2","0","0","0","0"
"Alexander MCDOWELL","1","2","0","1","3","0","0","2","0","1","0"
"John Moir Bingham ROBERTSON","0","1","0","1","0","0","1","0","1","0","2"
"BOX 199 & 201","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","45","21","74","17","6","5","2","2","0","0","0"
"David Scott BARNES","16","9","7","4","3","2","5","1","1","2","2"
"Philip BRAAT","107","61","22","8","6","3","1","0","0","0","0"
"Graham CAMPBELL","8","8","11","8","1","3","5","4","5","2","1"
