"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 20 Baillieston",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 419 & 425","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","8","6","24","7","4","3","3","6","0","2"
"James COLEMAN","127","25","11","4","0","1","0","1","2","1"
"Marie GARRITY","22","106","12","9","2","0","1","0","2","2"
"Raymond Colin MCCRAE","4","1","5","2","1","2","2","1","2","4"
"James David MCHALE","1","2","5","3","4","5","2","4","2","0"
"Andy MUIR","3","12","21","4","3","2","4","1","0","1"
"Austin SHERIDAN","55","29","23","7","1","1","0","1","0","2"
"Arthur Misty  THACKERAY","4","6","8","2","5","1","2","2","5","2"
"David Jamieson TURNER","30","49","17","9","1","1","0","0","2","0"
"David WEIR","6","5","26","11","2","2","3","1","2","1"
"BOX 420","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","4","4","18","4","5","2","1","1","1","0"
"James COLEMAN","117","19","15","7","3","0","1","0","2","4"
"Marie GARRITY","21","104","9","10","0","0","0","1","4","1"
"Raymond Colin MCCRAE","1","0","9","4","3","1","2","3","2","1"
"James David MCHALE","2","3","9","1","1","5","2","4","0","0"
"Andy MUIR","1","2","16","9","5","1","1","2","0","0"
"Austin SHERIDAN","38","46","8","8","2","0","1","0","3","0"
"Arthur Misty  THACKERAY","0","1","3","2","5","3","2","1","1","3"
"David Jamieson TURNER","49","40","10","3","1","2","0","1","0","2"
"David WEIR","5","5","24","8","4","2","4","0","0","2"
"BOX 421","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","5","3","18","9","2","4","3","2","0","1"
"James COLEMAN","117","10","17","2","0","0","0","1","0","0"
"Marie GARRITY","17","89","5","10","3","0","0","0","1","0"
"Raymond Colin MCCRAE","8","3","3","1","2","4","2","1","0","4"
"James David MCHALE","1","2","1","2","3","0","3","1","3","0"
"Andy MUIR","1","7","12","6","3","2","1","3","1","1"
"Austin SHERIDAN","45","44","9","2","1","2","0","1","2","0"
"Arthur Misty  THACKERAY","5","3","3","1","0","0","1","2","3","3"
"David Jamieson TURNER","44","42","11","8","2","0","0","1","1","1"
"David WEIR","3","5","26","7","4","2","2","0","1","2"
"BOX 422","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","3","3","18","10","4","3","1","1","2","4"
"James COLEMAN","155","37","19","5","4","0","0","0","2","0"
"Marie GARRITY","30","130","11","13","2","1","0","1","0","1"
"Raymond Colin MCCRAE","17","5","12","2","2","0","1","3","2","6"
"James David MCHALE","1","5","10","6","3","4","1","2","4","1"
"Andy MUIR","0","6","14","11","4","2","4","1","0","0"
"Austin SHERIDAN","40","66","17","2","3","2","0","0","0","0"
"Arthur Misty  THACKERAY","7","6","3","5","2","3","5","3","1","1"
"David Jamieson TURNER","68","39","16","10","0","2","1","0","0","0"
"David WEIR","5","4","38","6","5","2","2","3","3","0"
"BOX 423","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","3","1","16","7","1","0","1","3","0","0"
"James COLEMAN","122","25","8","4","0","0","1","0","1","0"
"Marie GARRITY","19","101","11","6","2","0","1","0","0","0"
"Raymond Colin MCCRAE","6","3","3","1","0","0","0","2","0","2"
"James David MCHALE","0","3","3","2","0","1","0","0","3","0"
"Andy MUIR","1","1","13","3","5","0","1","0","0","0"
"Austin SHERIDAN","28","39","3","8","2","0","1","0","1","1"
"Arthur Misty  THACKERAY","4","0","1","5","1","2","0","1","0","0"
"David Jamieson TURNER","43","26","14","5","1","4","0","0","0","1"
