"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 9 Calton",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"BOX 175 & 178","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","18","2","10","4","1","1","0","1","0","3","0","0","0"
"Alexander BELIC","52","62","12","9","3","2","0","0","0","0","0","0","0"
"Martin Lewis CLARK","0","2","2","0","0","0","0","1","1","1","2","0","1"
"Scott GILLESPIE","9","4","7","1","1","0","0","0","0","0","0","2","2"
"Gordon KIRKER","2","3","4","3","1","0","1","0","0","0","1","1","0"
"Yvonne KUCUK","71","37","13","10","4","1","0","1","1","0","0","0","2"
"Duncan MILLER","3","3","7","3","1","0","1","3","2","0","0","0","0"
"Thomas RANNACHAN","0","3","7","3","2","2","3","0","1","0","0","0","0"
"George REDMOND","37","61","14","6","4","3","0","0","0","1","0","2","0"
"Andy REID","22","14","31","9","2","1","1","0","0","0","0","0","0"
"Murdo RITCHIE","5","7","10","7","3","1","1","0","1","0","2","0","0"
"Harvey SUSSOCK","7","8","16","3","6","1","0","1","0","1","1","1","0"
"Alison THEWLISS","63","48","18","9","1","3","1","0","0","0","0","0","0"
"BOX 176","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","19","10","11","4","1","1","1","0","0","0","1","0","0"
"Alexander BELIC","35","52","8","4","0","1","2","0","0","0","1","0","0"
"Martin Lewis CLARK","0","1","6","1","0","1","0","1","0","1","0","0","0"
"Scott GILLESPIE","5","5","2","1","2","1","1","0","0","0","0","0","0"
"Gordon KIRKER","4","3","8","1","1","1","0","0","0","0","0","0","0"
"Yvonne KUCUK","100","37","12","4","0","1","0","0","0","0","0","0","0"
"Duncan MILLER","3","5","11","2","3","1","2","0","0","0","0","0","0"
"Thomas RANNACHAN","0","3","4","3","1","1","1","1","0","1","0","0","0"
"George REDMOND","38","99","11","3","0","0","0","0","1","0","0","0","0"
"Andy REID","6","6","22","1","4","0","2","0","2","1","0","0","0"
"Murdo RITCHIE","4","5","7","3","1","0","0","1","1","1","1","0","0"
"Harvey SUSSOCK","2","1","5","3","2","0","0","1","0","0","0","1","0"
"Alison THEWLISS","59","34","16","2","2","1","0","0","0","0","0","1","1"
"BOX 177","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","10","5","10","5","3","2","0","1","1","3","0","0","0"
"Alexander BELIC","31","60","17","5","0","0","0","0","1","0","1","0","0"
"Martin Lewis CLARK","0","2","1","0","1","1","0","1","1","0","1","0","1"
"Scott GILLESPIE","8","2","3","0","2","0","2","1","0","1","0","2","0"
"Gordon KIRKER","4","5","3","1","0","1","2","2","0","0","0","0","1"
"Yvonne KUCUK","88","40","13","4","3","0","1","1","0","0","0","1","0"
"Duncan MILLER","4","9","5","5","4","3","2","1","1","0","0","0","0"
"Thomas RANNACHAN","1","2","8","2","2","0","2","0","2","0","1","0","0"
"George REDMOND","40","87","17","3","3","3","0","0","0","0","0","1","1"
"Andy REID","16","12","27","5","1","0","0","0","0","0","1","0","0"
"Murdo RITCHIE","4","3","14","11","0","0","1","2","0","0","0","0","1"
"Harvey SUSSOCK","4","0","11","2","2","1","0","0","0","1","1","0","0"
"Alison THEWLISS","68","34","18","4","0","1","0","0","0","0","0","0","0"
"BOX 179","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","1","4","3","2","2","0","0","1","0","1","0","1","2"
"Alexander BELIC","41","26","8","5","2","1","0","0","1","1","1","1","0"
"Martin Lewis CLARK","1","1","2","2","0","1","2","1","0","1","0","1","2"
"Scott GILLESPIE","6","8","4","2","1","0","1","1","0","2","2","2","0"
"Gordon KIRKER","11","9","5","0","0","0","0","1","1","1","2","2","0"
"Yvonne KUCUK","21","68","15","2","3","1","2","0","1","1","1","0","0"
"Duncan MILLER","11","4","9","3","1","1","0","1","2","1","1","0","0"
"Thomas RANNACHAN","7","1","8","3","1","1","0","1","0","0","1","1","2"
"George REDMOND","75","29","16","9","2","2","0","1","0","1","1","0","1"
"Andy REID","7","7","19","9","3","2","1","0","1","0","0","0","0"
"Murdo RITCHIE","2","3","9","2","2","2","1","1","2","0","0","0","0"
"Harvey SUSSOCK","1","1","8","3","5","3","3","2","0","0","0","1","0"
"Alison THEWLISS","25","34","11","8","4","0","0","0","1","0","0","0","2"
"BOX 180 & 181","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","1","3","1","2","2","1","0","0","0","0","1","1","1"
"Alexander BELIC","66","40","17","5","1","0","0","0","0","0","0","0","0"
"Martin Lewis CLARK","0","0","2","1","1","0","0","0","0","1","1","1","1"
"Scott GILLESPIE","8","5","5","2","1","1","0","1","0","0","1","1","2"
"Gordon KIRKER","2","6","5","3","1","1","1","0","1","2","1","0","0"
"Yvonne KUCUK","47","69","19","10","1","0","0","0","0","0","0","0","0"
