"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 16 Canal",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,
"BOX 330","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","6","12","12","14","9","4","5","2","1","0","0","0"
"Brian BROWN","0","4","6","3","2","2","1","2","1","0","1","3"
"Fay DORNAN","0","0","5","9","3","4","5","3","2","1","0","0"
"Caroline JOHNSTON","10","24","22","17","10","3","1","3","0","0","1","0"
"Chris KELLY","34","47","27","18","14","4","2","0","1","0","0","1"
"Billy MCALLISTER","50","64","35","17","4","6","3","0","0","0","1","0"
"Angela MCCORMICK","12","12","12","18","6","4","4","2","3","3","1","0"
"Graham Craig NICHOLLS","0","2","3","4","3","2","1","2","1","1","3","1"
"Gavin Clark ROBERTS","50","74","28","14","9","5","2","1","1","2","0","0"
"Helen STEPHEN","54","50","26","15","8","5","1","2","0","1","1","0"
"Margaret WALKER","17","10","9","7","3","0","1","0","1","3","2","3"
"Kieran WILD","123","40","78","16","1","0","0","1","0","0","0","2"
"BOX 331","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","7","8","20","4","6","2","5","1","0","0","1","0"
"Brian BROWN","7","6","2","5","1","2","0","0","1","2","0","1"
"Fay DORNAN","0","0","4","3","6","2","1","1","1","0","0","1"
"Caroline JOHNSTON","14","20","16","15","6","3","2","1","0","0","0","0"
"Chris KELLY","44","58","27","17","11","5","0","0","0","1","0","0"
"Billy MCALLISTER","49","63","38","16","4","4","0","0","0","0","1","0"
"Angela MCCORMICK","4","13","8","16","1","2","3","1","1","0","0","0"
"Graham Craig NICHOLLS","0","7","3","1","4","1","1","0","2","0","1","0"
"Gavin Clark ROBERTS","49","73","27","14","7","2","1","0","0","0","0","1"
"Helen STEPHEN","50","57","21","19","10","2","0","1","0","0","0","0"
"Margaret WALKER","15","3","11","3","0","3","1","0","0","1","1","0"
"Kieran WILD","115","24","68","11","5","3","2","0","0","0","0","0"
"BOX 332","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","1","5","9","10","4","1","4","3","0","0","0","0"
"Brian BROWN","3","2","4","4","2","1","1","2","0","0","0","2"
"Fay DORNAN","1","2","5","3","9","2","1","0","2","0","2","0"
"Caroline JOHNSTON","9","13","18","9","0","4","1","1","0","1","0","1"
"Chris KELLY","20","30","20","7","8","6","5","1","2","0","0","0"
"Billy MCALLISTER","35","58","20","7","4","1","1","0","0","2","0","0"
"Angela MCCORMICK","13","5","14","14","1","4","1","0","0","1","0","1"
"Graham Craig NICHOLLS","0","5","5","3","1","1","1","0","0","0","3","0"
"Gavin Clark ROBERTS","51","47","9","12","6","1","0","0","3","0","0","0"
"Helen STEPHEN","35","36","12","7","5","7","1","3","0","2","0","0"
"Margaret WALKER","9","5","4","3","2","2","0","1","1","2","1","1"
"Kieran WILD","82","27","55","8","5","0","2","0","0","0","0","0"
"BOX 333","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","5","5","9","10","9","4","4","2","3","0","1","2"
"Brian BROWN","5","4","8","3","0","2","0","5","0","4","2","0"
"Fay DORNAN","0","5","7","9","5","3","8","0","2","1","0","1"
"Caroline JOHNSTON","11","3","10","11","3","5","2","4","2","1","1","0"
"Chris KELLY","50","73","17","10","9","1","4","1","1","2","0","0"
"Billy MCALLISTER","66","62","25","6","0","2","0","0","1","2","2","1"
"Angela MCCORMICK","6","12","14","6","4","5","2","3","2","0","1","1"
"Graham Craig NICHOLLS","3","9","1","3","4","1","0","2","5","1","2","1"
"Gavin Clark ROBERTS","56","70","17","9","1","1","2","0","2","1","2","0"
"Helen STEPHEN","76","45","18","12","6","6","0","1","0","2","1","0"
"Margaret WALKER","10","2","7","4","1","3","0","1","0","2","2","6"
"Kieran WILD","42","13","55","10","3","0","5","1","0","1","1","0"
"BOX 334","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","10","8","11","8","5","1","1","0","1","0","1","0"
"Brian BROWN","2","3","5","3","0","0","0","0","0","1","0","1"
"Fay DORNAN","1","3","5","2","1","3","1","0","1","0","0","0"
"Caroline JOHNSTON","8","5","9","8","4","2","1","1","0","1","0","0"
"Chris KELLY","33","54","11","11","3","1","0","1","1","0","0","0"
"Billy MCALLISTER","39","49","15","3","4","1","0","1","0","0","0","0"
"Angela MCCORMICK","6","3","6","7","2","2","1","1","1","1","1","0"
"Graham Craig NICHOLLS","2","3","2","3","3","1","0","0","0","0","1","0"
"Gavin Clark ROBERTS","45","47","12","6","1","1","1","0","0","0","0","0"
"Helen STEPHEN","53","34","16","8","8","0","0","0","0","0","0","0"
"Margaret WALKER","6","5","5","5","2","0","1","0","0","0","0","0"
"Kieran WILD","38","13","52","4","2","1","0","1","0","0","0","2"
"BOX 335","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","10","2","18","7","3","2","2","1","0","0","0","1"
"Brian BROWN","9","7","1","0","0","3","1","2","0","0","0","0"
"Fay DORNAN","4","0","4","5","3","0","3","1","0","0","1","0"
"Caroline JOHNSTON","8","4","7","3","3","0","1","4","2","1","0","0"
"Chris KELLY","38","72","11","8","4","3","0","0","0","0","1","0"
"Billy MCALLISTER","53","34","12","4","2","2","0","0","0","1","1","1"
"Angela MCCORMICK","0","4","9","6","2","2","0","0","1","1","0","1"
"Graham Craig NICHOLLS","0","11","5","0","2","0","1","0","1","0","0","0"
"Gavin Clark ROBERTS","31","49","7","5","2","1","2","0","0","1","1","1"
"Helen STEPHEN","69","37","16","7","2","1","0","1","0","1","1","0"
"Margaret WALKER","5","0","6","2","1","0","0","0","2","1","0","2"
"Kieran WILD","19","14","33","9","4","0","1","0","0","0","1","0"
"BOX 336 & 337","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","10","4","10","6","4","4","1","1","2","0","0","2"
"Brian BROWN","7","6","1","2","1","0","2","1","0","0","0","1"
"Fay DORNAN","0","1","6","4","3","1","2","3","0","0","2","0"
"Caroline JOHNSTON","3","5","7","6","5","2","2","0","2","0","0","2"
"Chris KELLY","18","56","13","8","6","1","0","0","0","1","0","0"
"Billy MCALLISTER","54","29","10","4","0","1","2","0","0","1","0","0"
"Angela MCCORMICK","0","5","7","6","1","0","0","0","4","2","1","0"
"Graham Craig NICHOLLS","0","6","2","1","2","2","0","1","0","3","2","0"
"Gavin Clark ROBERTS","28","50","11","2","1","2","0","2","0","0","0","0"
"Helen STEPHEN","50","14","22","12","1","1","0","0","0","0","1","0"
"Margaret WALKER","7","1","2","6","3","1","1","0","0","1","2","3"
"Kieran WILD","25","12","27","9","4","3","1","1","0","0","0","0"
"BOX 338 & 340","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","12","10","13","3","5","0","0","0","0","1","0","1"
"Brian BROWN","27","6","6","4","2","1","1","0","2","0","1","1"
"Fay DORNAN","1","2","8","4","4","2","2","2","0","1","0","0"
"Caroline JOHNSTON","4","1","5","1","0","4","1","0","1","0","0","1"
"Chris KELLY","99","52","10","9","2","0","1","0","0","0","0","0"
"Billy MCALLISTER","81","35","14","4","3","0","1","1","0","0","1","0"
"Angela MCCORMICK","5","6","11","2","4","1","1","1","2","2","0","1"
"Graham Craig NICHOLLS","1","19","6","5","1","1","2","1","0","1","2","0"
"Gavin Clark ROBERTS","24","63","21","7","2","1","0","2","0","1","1","0"
"Helen STEPHEN","35","81","22","14","2","2","0","0","1","0","0","0"
"Margaret WALKER","8","3","6","0","1","1","0","0","2","0","1","1"
"Kieran WILD","5","5","30","6","3","0","0","2","0","2","0","1"
"BOX 339","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","10","9","21","6","4","0","3","1","0","1","2","1"
"Brian BROWN","15","11","19","12","6","2","1","2","1","0","2","0"
"Fay DORNAN","1","4","9","5","3","2","2","2","1","0","1","0"
"Caroline JOHNSTON","1","2","4","3","1","3","2","2","2","1","1","0"
"Chris KELLY","77","77","12","10","2","1","1","0","0","0","0","0"
"Billy MCALLISTER","87","25","19","5","1","0","0","2","1","0","0","1"
"Angela MCCORMICK","1","0","10","4","1","2","2","1","3","1","0","0"
"Graham Craig NICHOLLS","2","17","13","16","3","1","3","0","0","1","0","3"
"Gavin Clark ROBERTS","10","70","15","8","2","1","1","0","1","1","0","1"
"Helen STEPHEN","75","61","23","7","2","1","0","0","0","2","0","0"
"Margaret WALKER","4","1","7","1","2","1","1","2","2","2","1","4"
"Kieran WILD","12","4","25","7","3","4","0","1","0","1","3","0"
"BOX 341","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","15","8","8","3","2","0","1","0","0","0","0","1"
"Brian BROWN","9","1","4","2","0","2","0","0","1","0","0","1"
"Fay DORNAN","0","4","6","4","1","1","1","2","0","0","0","0"
"Caroline JOHNSTON","1","2","1","1","2","1","0","0","2","0","0","1"
"Chris KELLY","105","18","10","3","0","0","0","1","2","0","0","0"
"Billy MCALLISTER","64","10","12","2","0","0","1","0","0","0","1","0"
"Angela MCCORMICK","1","4","9","3","2","1","1","1","0","0","1","1"
"Graham Craig NICHOLLS","0","7","0","3","4","0","0","0","0","1","2","0"
"Gavin Clark ROBERTS","5","50","6","5","2","0","0","0","0","2","0","0"
"Helen STEPHEN","7","91","12","2","2","1","2","1","0","0","0","0"
"Margaret WALKER","2","0","4","2","0","1","0","1","0","2","0","1"
"Kieran WILD","3","2","14","2","1","1","1","0","0","0","1","0"
"BOX 342 & 343","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","16","9","20","4","4","1","1","2","1","2","0","1"
"Brian BROWN","8","9","12","2","2","1","0","2","3","1","1","2"
"Fay DORNAN","2","3","6","5","4","6","1","1","0","1","1","1"
"Caroline JOHNSTON","2","1","5","4","4","0","2","1","2","0","4","0"
"Chris KELLY","145","32","20","7","0","0","0","0","1","0","0","2"
"Billy MCALLISTER","114","26","14","3","0","2","2","1","1","1","0","0"
"Angela MCCORMICK","5","4","9","3","4","1","4","2","1","2","0","1"
"Graham Craig NICHOLLS","1","7","10","3","2","1","2","2","3","2","1","0"
"Gavin Clark ROBERTS","11","98","13","2","3","1","1","1","0","0","1","0"
"Helen STEPHEN","20","123","26","11","3","1","0","0","0","0","3","0"
