"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 4 Craigton",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 069","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","44","38","13","12","4","3","0","1","1","0"
"Matt KERR","50","79","14","9","4","1","0","2","0","0"
"Gordon MACDIARMID","4","8","18","8","5","5","0","2","0","0"
"Janice MACKAY","1","4","6","1","2","4","6","2","0","2"
"Jayne Ann MORGAN","13","1","5","4","0","0","2","2","4","5"
"Isabel NELSON","1","5","10","2","2","2","3","2","4","2"
"Ian RUFFELL","8","9","12","3","3","2","4","3","3","3"
"Gail SHERIDAN","14","11","14","5","3","3","1","1","1","1"
"Jim TORRANCE","46","38","23","7","3","1","1","1","0","1"
"Alistair WATSON","89","45","19","7","2","0","2","0","3","1"
"BOX 070","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","43","46","15","10","2","1","0","0","0","1"
"Matt KERR","60","83","27","4","2","0","1","0","0","0"
"Gordon MACDIARMID","4","7","16","8","2","1","2","2","0","2"
"Janice MACKAY","0","3","5","4","2","1","0","2","1","2"
"Jayne Ann MORGAN","4","0","4","0","0","0","1","1","5","2"
"Isabel NELSON","0","2","3","2","2","2","1","2","1","2"
"Ian RUFFELL","5","5","11","8","3","7","3","0","1","0"
"Gail SHERIDAN","11","10","16","4","4","1","2","2","0","0"
"Jim TORRANCE","46","44","25","6","3","1","1","0","1","0"
"Alistair WATSON","99","47","17","9","1","2","1","1","1","0"
"BOX 071","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","41","46","17","12","4","2","2","2","0","1"
"Matt KERR","65","87","21","14","4","3","2","0","0","0"
"Gordon MACDIARMID","13","11","17","14","7","3","0","4","0","0"
"Janice MACKAY","3","4","6","7","2","3","4","2","3","0"
"Jayne Ann MORGAN","4","5","9","0","2","1","1","2","5","7"
"Isabel NELSON","3","3","8","1","5","5","3","3","3","2"
"Ian RUFFELL","8","5","17","8","5","1","5","2","3","0"
"Gail SHERIDAN","21","10","27","7","3","3","3","3","2","5"
"Jim TORRANCE","46","39","14","8","4","4","2","1","2","0"
"Alistair WATSON","94","62","18","8","2","4","2","2","0","2"
"BOX 072","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","50","53","14","10","0","2","0","1","0","0"
