"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 14 Drumchapel-Anniesland",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 284 & 285","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","62","25","8","7","2","2","1","1","1","0","2"
"Paul CAREY","214","14","17","3","2","0","2","0","0","0","1"
"John DOCHERTY","14","56","18","6","6","1","1","0","0","3","0"
"Jon FINDLAY","5","99","66","17","4","3","1","1","2","2","0"
"Judith FISHER","1","67","98","6","17","3","1","1","3","0","0"
"Gerrard O'Neill MCCUE","1","4","13","3","4","11","7","3","1","0","0"
"Paul MCGARRY","1","4","3","6","3","5","8","4","0","3","1"
"Martyn Anthony MCINTYRE","7","1","3","3","1","1","5","7","4","2","7"
"Eric STEVENSON","1","1","5","5","3","2","2","7","5","5","0"
"James TROLLAND","2","5","0","3","3","4","1","1","5","5","4"
"Alastair WHITELAW","4","6","9","11","1","3","2","2","3","2","7"
"BOX 286 & 287","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","60","38","6","13","9","0","3","0","2","0","1"
"Paul CAREY","167","15","19","5","1","0","1","2","1","1","0"
"John DOCHERTY","26","57","19","10","8","1","1","2","0","3","0"
"Jon FINDLAY","5","76","56","14","3","1","1","2","2","0","0"
"Judith FISHER","5","54","71","9","10","2","1","1","2","1","1"
"Gerrard O'Neill MCCUE","1","5","8","8","6","9","2","3","1","1","0"
"Paul MCGARRY","6","2","5","5","0","5","8","2","1","3","1"
"Martyn Anthony MCINTYRE","8","3","6","1","2","1","1","4","1","0","8"
"Eric STEVENSON","0","2","2","2","4","2","3","1","4","4","2"
"James TROLLAND","0","4","5","1","4","5","1","5","3","4","1"
"Alastair WHITELAW","2","4","11","6","5","9","5","2","5","1","2"
"BOX 288 & 289","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","65","30","10","19","5","0","2","1","0","3","0"
"Paul CAREY","188","15","35","2","2","1","0","0","1","0","5"
"John DOCHERTY","15","59","26","9","11","2","1","2","0","0","2"
"Jon FINDLAY","16","102","42","14","2","1","3","0","2","4","1"
"Judith FISHER","10","56","103","2","13","0","2","1","3","1","1"
"Gerrard O'Neill MCCUE","1","4","11","9","3","16","5","4","0","0","0"
"Paul MCGARRY","4","4","0","6","6","7","15","2","1","2","0"
"Martyn Anthony MCINTYRE","5","3","3","4","1","7","2","15","3","1","2"
"Eric STEVENSON","3","2","2","4","2","1","4","2","10","6","1"
"James TROLLAND","1","4","5","4","4","0","1","5","3","9","4"
"Alastair WHITELAW","5","1","14","6","1","3","1","3","5","2","9"
"BOX 290 & 291","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","79","28","11","9","3","1","1","1","0","0","2"
"Paul CAREY","120","11","19","3","2","1","0","1","0","1","1"
"John DOCHERTY","17","80","8","7","7","1","1","1","0","3","0"
"Jon FINDLAY","4","53","36","16","9","2","1","1","1","1","0"
"Judith FISHER","3","33","55","9","9","6","2","1","1","1","1"
"Gerrard O'Neill MCCUE","0","3","12","9","4","13","9","0","2","1","1"
"Paul MCGARRY","2","2","9","7","2","5","10","3","1","5","2"
"Martyn Anthony MCINTYRE","7","2","4","2","0","6","3","13","4","2","4"
"Eric STEVENSON","0","1","7","3","1","2","8","4","10","5","0"
"James TROLLAND","0","0","1","1","4","1","2","6","6","9","4"
"Alastair WHITELAW","0","4","12","7","3","2","0","3","6","1","11"
"BOX 292 & 293","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","45","24","8","14","7","2","0","2","1","0","1"
"Paul CAREY","178","13","32","2","1","0","0","1","1","0","1"
"John DOCHERTY","14","48","12","13","14","2","2","0","1","1","0"
"Jon FINDLAY","5","99","65","14","3","3","0","3","1","1","0"
"Judith FISHER","31","58","83","5","7","2","3","0","2","0","0"
"Gerrard O'Neill MCCUE","0","5","7","9","4","7","3","3","1","0","0"
"Paul MCGARRY","2","2","5","5","3","5","6","1","1","2","2"
"Martyn Anthony MCINTYRE","4","1","1","1","2","2","2","6","0","1","3"
"Eric STEVENSON","0","0","3","3","3","1","4","0","5","4","1"
"James TROLLAND","1","2","3","3","4","2","0","1","2","5","2"
"Alastair WHITELAW","4","3","4","13","2","3","3","3","2","1","3"
"BOX 294","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","76","23","11","3","3","1","3","0","0","2","0"
"Paul CAREY","62","66","28","8","3","1","0","1","0","0","0"
"John DOCHERTY","20","68","9","7","1","2","2","3","1","0","1"
"Jon FINDLAY","13","43","67","9","3","2","1","1","0","0","0"
"Judith FISHER","78","34","41","4","8","0","0","0","1","0","0"
"Gerrard O'Neill MCCUE","2","0","10","2","2","1","3","2","3","1","0"
"Paul MCGARRY","5","5","10","5","2","4","1","2","0","3","1"
"Martyn Anthony MCINTYRE","10","5","3","9","0","0","2","1","1","1","4"
"Eric STEVENSON","1","1","1","6","3","2","0","1","2","0","2"
"James TROLLAND","1","3","4","3","6","2","1","0","1","3","0"
"Alastair WHITELAW","5","8","16","14","4","7","1","0","1","0","1"
"BOX 295","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","70","28","6","13","3","1","2","1","1","0","1"
"Paul CAREY","70","89","36","4","6","1","1","2","2","0","0"
"John DOCHERTY","22","62","8","7","7","3","2","1","1","2","0"
"Jon FINDLAY","17","72","97","5","3","3","0","3","1","1","0"
"Judith FISHER","114","30","56","4","3","0","3","1","2","1","0"
"Gerrard O'Neill MCCUE","0","0","6","8","3","10","1","2","3","1","2"
"Paul MCGARRY","3","4","13","5","2","5","9","0","2","3","1"
