"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 18 East Centre",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 371","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","5","3","2","0","1","0","0","2","0","0","2"
"Nina BALLANTYNE","2","4","9","6","2","0","2","1","0","0","0"
"Frank DOCHERTY","131","26","10","0","1","0","0","1","1","0","0"
"Jennifer DUNN","54","10","6","4","1","0","0","0","1","0","0"
"Steven LAIRD","1","1","5","1","0","1","0","0","0","1","0"
"Alan LEE","1","2","3","4","1","0","0","0","1","2","0"
"Elaine MCDOUGALL","11","118","19","3","2","1","1","0","0","1","0"
"Daniel O'DONNELL","6","2","4","7","2","1","0","0","1","0","0"
"Fraser PATERSON","3","1","5","6","2","1","1","0","0","0","0"
"Russell ROBERTSON","11","10","121","10","2","1","0","0","0","0","1"
"Colin RULLKOTTER","7","44","7","3","6","0","0","0","0","0","1"
"BOX 372 & 373","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","9","1","6","1","0","0","1","0","2","1","7"
"Nina BALLANTYNE","10","7","11","10","4","1","0","1","2","1","0"
"Frank DOCHERTY","129","75","32","6","2","4","0","0","0","0","0"
"Jennifer DUNN","84","24","2","8","0","2","0","1","1","0","0"
"Steven LAIRD","1","5","9","3","3","2","1","3","3","2","1"
"Alan LEE","0","4","7","2","1","2","3","1","2","2","1"
"Elaine MCDOUGALL","20","119","77","5","3","1","3","2","0","1","0"
"Daniel O'DONNELL","3","3","13","3","3","1","1","1","2","3","1"
"Fraser PATERSON","3","5","8","7","3","4","2","4","1","2","1"
"Russell ROBERTSON","69","23","119","7","5","1","1","1","1","1","1"
"Colin RULLKOTTER","15","64","5","6","5","2","2","0","0","1","2"
"BOX 374 & 376","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","11","1","4","1","2","1","1","1","1","4","2"
"Nina BALLANTYNE","3","6","14","7","2","4","0","1","3","1","3"
"Frank DOCHERTY","76","38","20","6","5","1","0","0","0","0","0"
"Jennifer DUNN","57","19","7","6","2","1","2","1","1","1","1"
"Steven LAIRD","0","1","3","3","2","1","1","2","4","1","3"
"Alan LEE","0","2","3","5","2","3","2","2","2","1","1"
"Elaine MCDOUGALL","8","71","37","9","3","3","1","1","1","0","0"
"Daniel O'DONNELL","2","5","3","5","4","4","3","2","0","3","0"
"Fraser PATERSON","2","3","6","4","2","3","4","4","0","1","1"
"Russell ROBERTSON","44","10","67","4","5","0","2","1","2","0","0"
"Colin RULLKOTTER","12","43","6","5","7","1","1","0","0","2","3"
"BOX 375","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","4","7","1","2","1","0","0","1","1","0","3"
"Nina BALLANTYNE","9","9","19","8","3","3","2","0","0","0","0"
"Frank DOCHERTY","62","83","24","4","4","1","0","0","0","0","0"
"Jennifer DUNN","43","27","5","1","2","0","0","0","1","1","1"
"Steven LAIRD","3","1","0","0","1","2","2","1","1","1","0"
"Alan LEE","1","1","7","3","0","1","3","1","0","1","0"
"Elaine MCDOUGALL","9","52","91","4","1","0","0","2","1","0","0"
"Daniel O'DONNELL","1","3","9","10","2","1","1","1","1","0","0"
"Fraser PATERSON","2","1","5","3","4","2","1","1","2","0","0"
"Russell ROBERTSON","97","21","40","2","0","2","1","0","0","2","0"
"Colin RULLKOTTER","24","32","6","0","1","1","1","1","0","1","2"
"BOX 377","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","15","2","4","6","2","3","0","1","1","1","5"
"Nina BALLANTYNE","3","7","16","12","1","2","1","2","2","2","0"
"Frank DOCHERTY","58","42","111","8","2","2","0","2","1","0","0"
"Jennifer DUNN","71","35","5","7","4","1","1","0","0","1","0"
"Steven LAIRD","6","2","3","2","1","1","1","2","4","1","2"
"Alan LEE","3","3","3","4","5","1","2","3","1","3","0"
"Elaine MCDOUGALL","149","57","34","7","2","1","0","0","1","1","0"
"Daniel O'DONNELL","5","3","6","2","4","2","6","3","0","2","0"
"Fraser PATERSON","0","5","9","7","4","7","4","0","2","0","0"
"Russell ROBERTSON","16","97","63","10","9","1","1","0","0","0","2"
"Colin RULLKOTTER","13","52","17","9","8","3","2","1","0","0","1"
"BOX 378","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","17","4","7","3","1","3","2","1","0","0","10"
"Nina BALLANTYNE","14","8","23","7","6","6","4","2","1","2","1"
"Frank DOCHERTY","37","40","88","11","2","3","1","0","0","1","2"
"Jennifer DUNN","76","33","11","14","4","1","0","3","0","1","0"
"Steven LAIRD","8","5","8","4","3","2","4","1","5","4","2"
"Alan LEE","2","2","4","7","3","7","2","2","2","4","0"
"Elaine MCDOUGALL","120","41","19","10","5","1","2","2","0","1","0"
"Daniel O'DONNELL","4","5","9","8","6","1","2","5","4","2","1"
"Fraser PATERSON","1","5","5","5","6","3","3","1","3","1","1"
"Russell ROBERTSON","8","76","55","15","10","1","1","0","2","2","0"
"Colin RULLKOTTER","15","63","20","11","8","4","1","2","2","0","1"
"BOX 379 & 384","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","16","7","5","4","2","0","1","0","0","0","5"
"Nina BALLANTYNE","14","7","25","13","3","2","0","1","0","0","0"
"Frank DOCHERTY","65","62","29","15","3","1","1","0","1","2","0"
"Jennifer DUNN","90","26","9","6","3","1","0","1","0","0","0"
"Steven LAIRD","4","7","5","10","1","1","0","0","0","3","0"
"Alan LEE","3","8","6","6","6","3","1","1","1","1","0"
"Elaine MCDOUGALL","28","64","71","11","3","2","2","2","0","1","0"
"Daniel O'DONNELL","9","4","8","10","2","1","3","2","2","0","1"
"Fraser PATERSON","0","6","12","7","3","3","1","1","1","0","0"
"Russell ROBERTSON","60","23","62","9","3","3","1","0","2","0","1"
"Colin RULLKOTTER","16","74","15","10","6","0","2","0","0","0","0"
"BOX 380","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","6","1","1","2","1","0","1","1","0","0","3"
"Nina BALLANTYNE","5","3","9","8","2","3","1","1","1","0","0"
"Frank DOCHERTY","40","75","32","9","1","0","0","0","0","1","0"
"Jennifer DUNN","56","9","1","4","3","1","1","1","0","0","0"
"Steven LAIRD","1","1","3","2","0","1","2","1","2","1","1"
"Alan LEE","0","3","1","2","2","1","1","1","1","3","1"
"Elaine MCDOUGALL","29","44","75","6","4","2","0","0","0","0","1"
"Daniel O'DONNELL","6","6","8","3","2","3","2","2","0","0","1"
"Fraser PATERSON","0","1","5","2","0","3","2","1","3","1","1"
"Russell ROBERTSON","84","24","44","1","3","0","0","1","1","0","0"
"Colin RULLKOTTER","2","43","2","4","6","2","0","0","0","2","0"
"BOX 381","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","17","4","6","3","0","0","1","0","0","2","0"
"Nina BALLANTYNE","3","7","9","8","4","2","1","1","1","0","1"
"Frank DOCHERTY","50","92","31","6","2","0","0","1","1","1","0"
"Jennifer DUNN","67","24","5","4","1","0","1","3","0","0","0"
"Steven LAIRD","7","4","5","0","2","1","1","0","4","0","0"
"Alan LEE","1","2","3","2","0","1","0","1","0","2","1"
"Elaine MCDOUGALL","22","56","97","6","4","0","2","0","0","0","0"
"Daniel O'DONNELL","15","7","7","4","0","3","0","0","0","0","2"
"Fraser PATERSON","2","2","7","6","2","2","2","1","0","1","0"
"Russell ROBERTSON","99","22","50","6","4","2","0","1","0","0","1"
"Colin RULLKOTTER","14","56","9","2","3","0","1","1","1","0","0"
"BOX 382","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","5","1","2","8","0","0","0","0","0","3","4"
"Nina BALLANTYNE","2","7","9","8","2","4","2","1","0","0","0"
"Frank DOCHERTY","36","66","24","5","1","1","2","0","0","0","1"
"Jennifer DUNN","59","15","2","1","1","1","0","3","0","0","0"
"Steven LAIRD","5","2","5","3","3","0","0","1","3","1","0"
