"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 13 Garscadden-Scotstounhill",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"BOX 262","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","18","71","156","4","1","0","1","0","0","0","0","0","0"
"John CORMACK","2","0","5","5","0","3","1","0","0","0","0","0","0"
"Iain CUMMING","4","6","3","4","3","0","1","1","0","1","0","0","0"
"Graeme Andrew HENDRY","48","29","10","5","2","1","0","0","1","0","1","0","0"
"Phil JARVIS","3","6","8","4","2","0","2","0","0","1","0","1","0"
"John KELLY","2","158","54","6","0","1","0","0","0","0","0","0","0"
"Susan Marion MCCOURT","7","7","6","1","2","0","0","0","0","0","0","1","1"
"Mark MUIR","0","2","4","1","0","1","0","0","1","1","0","0","1"
"Paul ROONEY","260","16","25","2","3","0","0","0","0","0","0","0","0"
"Martin SCHMIERER","4","4","20","8","4","2","0","0","1","0","0","0","0"
"James Douglas SPEIRS","3","4","3","6","0","1","2","0","0","0","1","0","0"
"Ryan STUART","0","1","2","4","0","0","0","5","0","0","1","0","0"
"Donald T WILSON","13","41","16","5","3","0","0","0","1","0","0","1","0"
"BOX 263","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","30","69","85","6","0","0","0","0","1","0","0","0","1"
"John CORMACK","10","2","8","2","3","1","0","2","1","0","0","2","0"
"Iain CUMMING","2","4","5","3","2","1","0","1","0","0","2","0","0"
"Graeme Andrew HENDRY","36","25","9","10","4","0","1","0","0","1","0","1","0"
"Phil JARVIS","3","12","9","3","4","1","2","1","1","1","0","1","1"
"John KELLY","5","95","51","6","3","2","2","1","0","1","1","0","0"
"Susan Marion MCCOURT","15","3","3","4","3","0","0","1","1","1","1","0","1"
"Mark MUIR","2","1","3","2","1","2","3","0","0","0","2","0","0"
"Paul ROONEY","167","16","37","6","0","0","0","1","0","1","1","0","0"
"Martin SCHMIERER","7","10","12","9","2","3","0","1","1","0","0","1","0"
"James Douglas SPEIRS","4","4","5","8","3","0","1","0","1","1","0","1","0"
"Ryan STUART","3","1","3","0","0","2","2","0","2","0","0","1","3"
"Donald T WILSON","15","35","10","9","7","4","0","0","0","1","0","0","1"
"BOX 264 & 265","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","47","114","123","13","5","1","1","1","0","0","0","0","1"
"John CORMACK","14","7","11","7","3","3","0","0","1","0","2","1","4"
"Iain CUMMING","6","11","8","5","2","0","2","0","1","2","1","2","0"
"Graeme Andrew HENDRY","95","46","22","15","5","2","1","0","0","0","0","1","0"
"Phil JARVIS","7","5","11","7","3","2","1","1","0","3","2","1","0"
"John KELLY","12","132","96","8","6","5","0","4","1","2","0","0","0"
"Susan Marion MCCOURT","5","10","6","5","0","0","3","1","4","0","1","0","2"
"Mark MUIR","0","1","6","6","2","1","2","4","1","3","0","0","1"
"Paul ROONEY","259","42","50","6","1","2","0","0","2","1","0","1","0"
"Martin SCHMIERER","12","12","24","16","7","4","3","1","2","1","0","0","0"
"James Douglas SPEIRS","2","5","8","3","5","2","1","2","0","1","1","1","0"
"Ryan STUART","2","1","5","1","2","5","5","1","2","0","1","2","0"
"Donald T WILSON","34","77","26","12","8","2","0","0","0","0","2","1","1"
"BOX 266","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","40","70","162","7","2","1","0","1","0","0","1","0","1"
"John CORMACK","4","3","3","4","3","0","0","0","1","1","1","0","0"
"Iain CUMMING","3","5","8","5","2","0","1","1","1","1","0","0","0"
"Graeme Andrew HENDRY","56","28","13","11","2","0","0","0","1","0","0","2","0"
"Phil JARVIS","4","5","9","5","0","2","1","0","0","0","1","1","0"
"John KELLY","2","165","72","8","2","2","1","1","0","0","0","1","0"
"Susan Marion MCCOURT","12","5","5","2","0","0","0","0","2","1","0","0","2"
"Mark MUIR","1","0","3","4","1","0","0","2","1","2","0","0","0"
"Paul ROONEY","240","29","34","5","2","0","2","0","0","0","0","0","1"
"Martin SCHMIERER","12","3","11","8","5","3","2","1","0","0","1","0","0"
"James Douglas SPEIRS","0","5","7","2","3","5","0","0","0","1","0","1","0"
