"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 5 Govan",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,,
"BOX 093","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","74","27","15","4","2","1","0","1","0","1","0","0","0","0"
"Finlay ARCHIBALD","1","1","1","2","2","3","0","0","0","0","1","0","0","0"
"Jesper BACH","4","8","5","10","4","2","0","0","1","1","0","0","0","0"
"Shaukat BUTT","0","8","7","3","1","1","2","0","0","0","0","0","0","0"
"Stephen DORNAN","52","16","13","7","2","0","1","1","0","0","0","0","0","0"
"Joyce DRUMMOND","2","2","9","3","4","0","0","1","0","0","0","0","0","0"
"John FLANAGAN","32","21","13","5","2","1","0","0","1","1","1","0","0","1"
"Alan HUGHES","2","5","3","1","1","1","0","0","0","0","1","0","2","0"
"Allison HUNTER","48","28","23","5","3","0","0","1","0","0","0","2","0","0"
"Jonathan MACKIE","31","46","14","0","3","1","0","1","1","0","0","0","2","0"
"Tahir MOHAMMED","6","16","43","6","2","2","1","0","0","1","0","0","0","2"
"Harriet MURDOCH","5","4","6","3","0","0","0","1","0","0","0","1","0","0"
"Fariha THOMAS","4","52","26","5","2","0","2","0","0","0","1","0","0","0"
"Chris YOUNG","2","3","5","3","5","1","1","0","2","0","0","1","0","0"
"BOX 094","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","50","22","17","5","1","1","0","2","0","2","0","0","1","0"
"Finlay ARCHIBALD","3","3","3","3","1","1","1","0","0","0","2","2","0","2"
"Jesper BACH","5","7","9","9","3","1","1","0","2","0","2","0","1","0"
"Shaukat BUTT","1","11","6","5","2","0","3","1","1","2","0","0","0","0"
"Stephen DORNAN","59","20","16","4","4","1","2","2","1","1","0","0","0","0"
"Joyce DRUMMOND","3","2","4","6","0","2","0","1","2","1","1","1","1","0"
"John FLANAGAN","37","19","10","7","3","0","0","1","0","0","1","0","0","1"
"Alan HUGHES","6","4","4","1","1","1","0","1","0","1","0","1","0","1"
"Allison HUNTER","45","31","22","7","0","1","0","0","0","0","1","1","0","0"
"Jonathan MACKIE","23","44","14","7","4","1","1","0","0","0","0","1","1","0"
"Tahir MOHAMMED","4","12","42","4","7","3","0","0","0","0","0","0","0","1"
"Harriet MURDOCH","4","6","2","2","2","1","0","0","1","0","0","0","3","0"
"Fariha THOMAS","7","40","15","6","0","3","3","0","1","0","0","0","0","1"
"Chris YOUNG","5","1","10","4","4","1","2","1","0","1","0","1","0","0"
