"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 3 Greater Pollok",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 043 & 044","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","3","4","8","5","4","4","2","0","2","1","1"
"Bill BUTLER","94","58","29","14","5","1","1","1","0","2","0"
"Norman FRASER","10","8","13","11","6","6","2","2","1","1","1"
"Rashid HUSSAIN","39","65","25","17","5","3","1","0","1","0","1"
"Shabbar JAFFRI","92","43","17","8","6","1","2","0","0","2","0"
"Archie E LINNEGAN","11","3","9","4","2","3","1","1","1","1","2"
"David MCDONALD","55","91","18","7","2","1","0","2","1","0","0"
"Chris MORGAN","23","12","14","6","1","0","1","2","0","2","2"
"Tommy MORRISON","21","22","27","15","1","1","2","0","3","0","0"
"Juliet NEAL","10","20","46","11","12","3","1","0","1","0","0"
"William O'ROURKE","6","12","17","14","6","3","0","3","1","0","0"
"BOX 045 & 046","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","2","4","11","5","4","1","1","4","4","1","1"
"Bill BUTLER","97","25","23","5","1","1","0","2","0","1","0"
"Norman FRASER","3","3","4","8","2","1","2","3","0","2","2"
"Rashid HUSSAIN","22","64","18","10","1","4","0","2","2","0","0"
"Shabbar JAFFRI","61","40","7","6","4","1","1","0","0","2","2"
"Archie E LINNEGAN","3","3","7","0","2","1","6","1","2","2","2"
"David MCDONALD","42","65","13","5","1","1","1","0","1","2","2"
"Chris MORGAN","4","8","10","1","1","4","1","2","2","1","3"
"Tommy MORRISON","25","12","29","16","4","2","0","1","1","1","0"
"Juliet NEAL","11","11","30","6","6","5","2","1","2","0","0"
"William O'ROURKE","8","16","15","18","9","2","4","0","0","1","1"
"BOX 047","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","1","3","8","4","7","1","1","0","0","0","0"
"Bill BUTLER","99","19","8","6","2","1","0","0","0","0","0"
"Norman FRASER","6","4","5","2","0","0","1","0","0","0","0"
"Rashid HUSSAIN","21","85","10","7","1","0","1","0","0","0","0"
"Shabbar JAFFRI","29","42","11","1","1","3","0","0","0","0","3"
"Archie E LINNEGAN","2","0","4","0","0","0","1","4","1","0","0"
"David MCDONALD","53","31","10","5","4","0","0","0","0","3","0"
"Chris MORGAN","7","0","8","3","2","0","2","0","2","0","0"
"Tommy MORRISON","18","12","20","2","1","2","1","0","0","0","0"
"Juliet NEAL","3","11","15","8","3","3","1","1","0","0","0"
"William O'ROURKE","6","17","11","12","1","1","1","1","0","0","0"
"BOX 048","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","3","0","21","0","3","1","0","0","1","2","0"
"Bill BUTLER","85","26","16","10","2","1","1","0","1","0","0"
"Norman FRASER","6","6","9","4","1","4","1","0","0","1","0"
"Rashid HUSSAIN","29","66","15","10","4","2","0","1","0","0","1"
"Shabbar JAFFRI","52","67","10","12","2","0","2","0","0","0","1"
"Archie E LINNEGAN","9","3","4","1","2","1","1","1","0","0","1"
"David MCDONALD","66","52","25","7","1","0","1","0","1","1","0"
"Chris MORGAN","10","10","10","4","2","0","0","1","1","0","2"
"Tommy MORRISON","19","12","18","6","5","0","0","2","1","0","0"
"Juliet NEAL","7","9","17","9","1","3","2","0","1","1","0"
"William O'ROURKE","5","13","11","12","5","6","1","1","0","1","1"
"BOX 049","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","6","2","4","8","3","2","0","2","0","1","0"
"Bill BUTLER","80","20","11","7","1","2","1","0","0","1","0"
"Norman FRASER","1","7","11","1","2","1","2","0","2","0","0"
"Rashid HUSSAIN","11","62","16","12","1","0","0","0","1","0","2"
"Shabbar JAFFRI","13","44","11","8","2","1","0","0","0","0","0"
"Archie E LINNEGAN","1","1","4","2","2","0","0","2","1","1","1"
"David MCDONALD","57","18","14","8","3","0","0","1","1","0","0"
"Chris MORGAN","12","6","10","1","1","0","1","1","0","1","2"
"Tommy MORRISON","24","20","22","7","2","1","1","0","0","0","0"
"Juliet NEAL","6","5","19","9","5","0","0","0","1","2","1"
"William O'ROURKE","5","13","16","17","1","2","1","0","0","0","0"
