"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 11 Hillhead",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"BOX 215","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","77","52","22","10","4","2","0","1","1","0","4","2","0"
"Charles BAILLIE","1","0","0","1","2","0","0","2","2","0","0","2","1"
"Neil CRAIG","1","2","6","2","0","3","0","0","1","3","1","1","1"
"Frances CURRAN","1","3","8","8","4","5","1","0","1","2","1","0","2"
"Kenneth Carmichael ELDER","23","19","18","9","10","7","1","1","0","1","0","0","0"
"Iain FIRTH","1","0","1","5","5","2","4","0","3","1","0","0","0"
"Alexander Wallace INGLIS","13","8","8","4","5","1","0","3","1","0","2","0","1"
"Murdo MACLEOD","0","3","2","1","0","1","2","1","1","2","0","0","1"
"Martin MCELROY","24","42","19","23","7","2","0","2","0","0","1","0","0"
"Pauline Ann MCKEEVER","28","33","20","16","11","1","4","0","0","1","0","0","0"
"Ruth SIMPSON","26","20","27","22","3","4","2","1","0","0","0","0","0"
"Mark SMITH","33","65","22","9","4","1","4","0","1","0","0","4","1"
"Martha WARDROP","63","27","58","13","5","4","1","1","1","0","0","0","0"
"BOX 216","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","87","49","16","18","5","1","0","0","0","0","0","2","4"
"Charles BAILLIE","0","3","2","4","0","1","1","1","4","1","1","1","0"
"Neil CRAIG","0","3","6","4","1","3","3","3","1","2","1","0","0"
"Frances CURRAN","5","11","10","13","6","2","3","1","2","3","2","0","1"
"Kenneth Carmichael ELDER","15","21","26","11","12","4","4","2","1","0","0","0","0"
"Iain FIRTH","0","3","3","6","6","3","5","3","2","1","2","0","0"
"Alexander Wallace INGLIS","25","16","9","8","3","2","1","0","1","0","2","2","1"
"Murdo MACLEOD","2","4","1","3","3","1","0","1","1","2","2","0","2"
"Martin MCELROY","38","60","30","9","9","3","1","2","0","0","0","0","0"
"Pauline Ann MCKEEVER","52","41","21","17","6","7","2","0","0","2","0","0","0"
"Ruth SIMPSON","47","20","34","25","6","2","2","1","0","1","0","1","0"
"Mark SMITH","36","80","22","12","3","5","1","0","0","0","1","5","2"
"Martha WARDROP","49","24","83","25","5","4","0","3","0","0","1","1","0"
"BOX 217","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","85","39","30","11","3","6","2","0","0","0","0","0","2"
"Charles BAILLIE","0","2","0","3","3","1","0","0","1","0","0","2","1"
"Neil CRAIG","0","8","8","3","1","0","0","1","0","0","2","0","1"
"Frances CURRAN","2","12","4","10","4","1","0","0","1","3","0","1","0"
"Kenneth Carmichael ELDER","19","25","35","22","6","2","2","2","0","1","0","0","0"
"Iain FIRTH","0","1","3","7","1","1","2","0","1","0","1","0","0"
"Alexander Wallace INGLIS","31","17","15","6","4","1","0","1","0","2","1","0","0"
"Murdo MACLEOD","2","1","4","3","0","3","1","0","2","0","2","0","0"
"Martin MCELROY","39","49","23","10","6","3","0","0","0","0","0","1","0"
"Pauline Ann MCKEEVER","38","47","17","16","5","1","0","0","0","0","0","0","1"
"Ruth SIMPSON","51","23","41","10","8","3","1","2","0","0","0","0","1"
"Mark SMITH","30","77","17","14","6","1","1","1","0","0","0","2","0"
"Martha WARDROP","53","37","71","23","10","3","1","0","1","0","0","0","0"
"BOX 218 & 219","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","121","52","29","19","2","4","1","2","1","1","0","1","0"
"Charles BAILLIE","4","2","1","2","2","2","2","0","1","0","0","2","3"
"Neil CRAIG","4","10","8","5","1","3","0","1","1","3","0","1","0"
"Frances CURRAN","6","5","10","9","6","2","2","2","2","2","2","0","2"
"Kenneth Carmichael ELDER","26","36","39","39","8","5","2","1","1","0","0","1","0"
"Iain FIRTH","0","2","6","6","3","2","7","4","2","0","0","0","0"
"Alexander Wallace INGLIS","49","15","32","8","11","3","1","2","2","0","1","1","0"
"Murdo MACLEOD","2","6","9","8","2","1","1","0","2","2","2","0","4"
"Martin MCELROY","63","91","28","15","14","3","4","0","0","2","0","1","0"
"Pauline Ann MCKEEVER","85","69","16","21","12","8","2","0","0","0","3","0","0"
"Ruth SIMPSON","43","35","50","25","12","1","3","3","0","1","1","1","0"
"Mark SMITH","45","103","36","16","6","4","1","1","1","1","2","2","0"
"Martha WARDROP","58","48","105","35","11","7","1","2","0","0","0","1","1"
"BOX 220","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","85","27","21","12","0","1","1","0","0","0","2","0","0"
"Charles BAILLIE","0","0","1","2","1","1","1","2","0","0","1","0","2"
"Neil CRAIG","0","3","3","1","1","0","2","0","0","2","1","1","0"
"Frances CURRAN","6","9","14","15","4","4","1","0","1","1","0","0","1"
"Kenneth Carmichael ELDER","8","16","17","16","10","1","1","1","1","0","1","0","0"
"Iain FIRTH","0","4","9","4","1","1","0","1","1","1","0","0","0"
"Alexander Wallace INGLIS","19","5","9","6","0","0","0","2","1","0","0","1","2"
"Murdo MACLEOD","1","0","6","1","1","0","0","1","1","1","0","2","1"
"Martin MCELROY","29","50","24","12","4","2","1","1","0","0","1","0","0"
"Pauline Ann MCKEEVER","46","44","19","8","5","5","2","0","0","0","0","1","0"
"Ruth SIMPSON","23","15","31","8","11","5","0","0","1","0","0","0","0"
"Mark SMITH","14","69","22","13","5","3","0","0","0","1","0","1","0"
"Martha WARDROP","71","38","42","26","10","5","3","0","0","0","0","0","0"
"BOX 221","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","96","22","26","12","6","2","0","0","1","0","0","0","1"
"Charles BAILLIE","1","4","2","1","1","2","1","2","1","2","1","1","2"
"Neil CRAIG","3","7","3","4","4","4","1","1","2","1","1","0","0"
"Frances CURRAN","3","5","12","15","3","3","2","3","0","3","0","0","0"
"Kenneth Carmichael ELDER","18","20","25","17","8","7","5","1","1","0","2","1","0"
"Iain FIRTH","1","0","5","6","0","2","2","3","4","0","1","0","0"
"Alexander Wallace INGLIS","40","9","28","6","3","1","2","0","2","1","1","0","2"
"Murdo MACLEOD","1","6","0","9","1","0","1","1","0","1","3","3","0"
"Martin MCELROY","41","59","22","25","13","2","0","0","0","0","1","1","0"
"Pauline Ann MCKEEVER","57","58","22","17","6","5","2","0","0","0","0","1","1"
"Ruth SIMPSON","25","19","35","24","9","5","3","1","0","0","0","1","2"
"Mark SMITH","14","90","19","10","7","2","1","0","0","1","0","1","0"
"Martha WARDROP","66","37","80","19","17","1","4","0","0","1","0","0","0"
"BOX 222 & 223","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","82","37","23","14","4","8","1","2","1","2","0","0","1"
"Charles BAILLIE","1","2","1","1","0","1","2","0","1","2","2","2","0"
"Neil CRAIG","5","8","4","2","2","1","1","2","0","1","3","2","1"
"Frances CURRAN","7","12","15","18","6","3","1","0","2","2","1","2","0"
"Kenneth Carmichael ELDER","12","22","23","19","7","7","4","2","1","0","1","1","0"
"Iain FIRTH","2","0","6","4","5","4","0","5","3","0","0","0","0"
"Alexander Wallace INGLIS","20","4","4","5","5","3","5","0","0","4","1","1","1"
"Murdo MACLEOD","4","3","3","2","0","2","0","1","1","1","0","0","3"
"Martin MCELROY","32","55","25","5","10","4","3","0","1","0","0","1","0"
"Pauline Ann MCKEEVER","44","39","23","16","4","6","1","2","0","1","0","0","1"
"Ruth SIMPSON","9","12","25","22","14","0","4","3","0","0","0","0","0"
"Mark SMITH","15","68","35","16","11","5","1","1","3","0","2","0","0"
"Martha WARDROP","92","41","71","25","6","3","1","0","1","0","0","0","1"
"BOX 224 & 225","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","86","30","21","8","6","3","1","0","0","2","0","0","0"
"Charles BAILLIE","1","0","1","0","0","0","2","2","0","1","2","1","0"
"Neil CRAIG","3","3","3","1","0","0","0","2","1","1","1","3","0"
"Frances CURRAN","9","19","11","19","2","4","0","0","2","0","0","0","0"
"Kenneth Carmichael ELDER","7","18","15","12","7","5","0","0","2","0","1","0","1"
"Iain FIRTH","0","1","5","3","3","4","1","4","1","0","0","0","0"
"Alexander Wallace INGLIS","12","6","11","5","2","1","1","1","1","1","1","2","1"
"Murdo MACLEOD","2","1","3","1","1","2","2","1","0","2","0","0","3"
"Martin MCELROY","29","38","23","19","9","1","3","2","0","0","0","0","0"
"Pauline Ann MCKEEVER","36","34","23","16","6","4","1","0","2","0","0","0","0"
"Ruth SIMPSON","7","13","17","21","5","1","5","0","0","0","1","0","0"
"Mark SMITH","12","82","22","16","10","4","1","0","2","0","0","0","0"
"Martha WARDROP","85","28","71","19","5","2","1","0","0","0","0","0","0"
"BOX 226 & 227","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Ken ANDREW","96","49","33","16","4","4","0","0","0","0","0","0","1"
"Charles BAILLIE","0","1","1","0","2","0","0","2","0","2","0","1","0"
"Neil CRAIG","2","2","3","1","2","1","2","0","2","0","3","0","0"
