"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 7 Langside",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 132","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","97","83","27","9","2","2","4","3"
"Paul COLESHILL","25","42","34","12","8","9","5","0"
"Cayleigh DORNAN","4","20","29","13","15","6","5","1"
"Archie GRAHAM","201","30","24","9","8","4","0","4"
"Liam HAINEY","34","70","60","14","9","8","1","0"
"Alex HEWETSON","47","79","31","19","5","3","4","4"
"Russell Maitland MUNN","28","10","14","0","2","4","11","11"
"Ronnie STEVENSON","19","28","46","12","5","5","4","9"
"BOX 133","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","68","39","20","6","4","1","1","4"
"Paul COLESHILL","33","30","18","5","5","1","4","1"
"Cayleigh DORNAN","1","15","13","8","6","8","2","0"
"Archie GRAHAM","121","13","30","3","1","3","2","0"
"Liam HAINEY","27","41","35","9","3","2","1","2"
"Alex HEWETSON","12","54","22","14","8","4","3","1"
"Russell Maitland MUNN","16","11","13","3","2","0","6","6"
"Ronnie STEVENSON","16","26","21","6","4","5","2","4"
"BOX 134","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","147","48","27","8","5","3","1","2"
"Paul COLESHILL","37","40","33","17","12","6","8","2"
"Cayleigh DORNAN","7","17","27","14","15","13","3","4"
"Archie GRAHAM","136","29","33","13","5","9","6","5"
"Liam HAINEY","25","56","59","20","12","6","2","0"
"Alex HEWETSON","22","123","40","14","7","5","3","2"
"Russell Maitland MUNN","41","16","10","2","6","7","14","17"
"Ronnie STEVENSON","19","28","20","11","4","6","10","9"
"BOX 135","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","103","38","15","6","4","2","2","0"
"Paul COLESHILL","31","29","22","6","4","2","2","0"
"Cayleigh DORNAN","0","4","22","9","2","4","2","1"
"Archie GRAHAM","110","28","27","6","4","0","0","1"
"Liam HAINEY","27","36","41","14","5","4","0","0"
"Alex HEWETSON","11","82","34","6","2","5","2","0"
"Russell Maitland MUNN","16","5","6","1","3","0","2","5"
"Ronnie STEVENSON","14","35","20","10","3","0","2","3"
"BOX 136","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","56","54","21","1","2","0","0","0"
"Paul COLESHILL","17","23","15","10","5","4","1","0"
"Cayleigh DORNAN","2","6","14","2","5","7","1","0"
"Archie GRAHAM","88","20","14","6","4","2","3","2"
"Liam HAINEY","32","57","50","14","4","2","2","0"
"Alex HEWETSON","34","43","26","7","1","0","1","0"
"Russell Maitland MUNN","9","2","4","4","3","1","3","5"
"Ronnie STEVENSON","5","8","18","7","4","3","3","6"
"BOX 137","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","61","62","16","5","1","3","1","1"
"Paul COLESHILL","9","23","24","9","11","4","4","1"
"Cayleigh DORNAN","3","12","18","7","4","10","3","0"
"Archie GRAHAM","93","22","20","11","3","2","1","0"
"Liam HAINEY","40","43","50","16","5","1","1","0"
"Alex HEWETSON","40","48","21","5","6","1","4","0"
"Russell Maitland MUNN","8","9","8","4","2","2","5","9"
"Ronnie STEVENSON","2","12","18","8","3","4","2","4"
"BOX 138 ","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","76","49","22","3","1","1","2","0"
"Paul COLESHILL","16","24","21","6","5","4","3","1"
"Cayleigh DORNAN","2","12","17","6","11","6","2","0"
"Archie GRAHAM","85","21","27","7","4","3","1","0"
"Liam HAINEY","42","43","46","12","4","3","0","0"
"Alex HEWETSON","25","65","24","10","3","1","2","3"
"Russell Maitland MUNN","11","8","4","6","0","4","5","11"
"Ronnie STEVENSON","9","7","19","8","1","2","7","6"
"BOX 139","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","0","0","0","0","0","0","0","0"
"Paul COLESHILL","0","0","0","0","0","0","0","0"
"Cayleigh DORNAN","0","0","0","0","0","0","0","0"
"Archie GRAHAM","0","0","0","0","0","0","0","0"
"Liam HAINEY","0","0","0","0","0","0","0","0"
"Alex HEWETSON","0","0","0","0","0","0","0","0"
