"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 1 Linn",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 001","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","37","19","23","11","6","5","5","1","3"
"Malcolm Robert CUNNING","76","44","30","12","4","2","1","1","0"
"Sadie DOCHERTY","46","80","18","9","5","3","2","1","0"
"Glenn Alistair ELDER","68","67","12","5","3","1","1","3","1"
"Lesley INGRAM","2","8","14","7","6","14","4","1","0"
"Lisa JONES","17","14","58","12","12","4","5","1","1"
"Stewart MCDONALD","59","61","14","16","3","0","2","1","2"
"Andrew Ellis MORRISON","39","16","10","2","6","0","3","8","6"
"Frank YOUNG","2","2","11","6","3","2","3","6","2"
"BOX 002","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","24","14","18","14","6","6","1","4","1"
"Malcolm Robert CUNNING","53","44","15","14","3","2","2","3","0"
"Sadie DOCHERTY","50","55","19","6","6","3","1","1","3"
"Glenn Alistair ELDER","49","61","19","7","1","4","4","2","2"
"Lesley INGRAM","2","2","10","10","11","8","1","4","0"
"Lisa JONES","18","17","41","16","5","4","2","1","2"
"Stewart MCDONALD","55","50","15","11","4","1","3","4","2"
"Andrew Ellis MORRISON","15","6","15","5","3","0","2","5","5"
"Frank YOUNG","3","2","16","2","3","2","8","0","7"
"BOX 003","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","14","27","45","12","2","1","3","3","0"
"Malcolm Robert CUNNING","57","58","22","14","7","0","0","1","0"
"Sadie DOCHERTY","62","69","14","13","4","2","0","0","1"
"Glenn Alistair ELDER","66","50","20","6","2","2","1","1","1"
"Lesley INGRAM","2","2","10","11","7","6","2","1","0"
"Lisa JONES","17","20","38","13","10","2","3","0","0"
"Stewart MCDONALD","50","55","17","8","3","1","2","2","0"
"Andrew Ellis MORRISON","50","9","16","5","1","4","1","3","4"
"Frank YOUNG","6","4","11","8","2","2","4","2","3"
"BOX 004","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","34","19","27","11","4","2","0","4","0"
"Malcolm Robert CUNNING","40","47","15","12","5","2","2","2","0"
"Sadie DOCHERTY","36","42","15","14","5","3","2","1","1"
"Glenn Alistair ELDER","43","35","14","6","6","4","0","0","1"
"Lesley INGRAM","2","1","11","5","4","8","8","1","2"
"Lisa JONES","13","10","31","11","5","2","4","2","0"
"Stewart MCDONALD","29","36","21","11","3","2","2","4","0"
"Andrew Ellis MORRISON","16","11","9","8","0","2","2","3","6"
"Frank YOUNG","6","4","10","2","3","2","5","5","6"
"BOX 005","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","36","16","34","5","4","0","4","0","1"
"Malcolm Robert CUNNING","37","134","13","6","1","2","1","0","0"
"Sadie DOCHERTY","139","48","24","7","1","0","0","1","0"
"Glenn Alistair ELDER","35","57","15","5","0","2","1","1","0"
"Lesley INGRAM","0","3","7","8","6","1","3","1","0"
"Lisa JONES","4","5","35","6","6","8","0","0","1"
"Stewart MCDONALD","53","33","14","8","2","1","2","1","0"
"Andrew Ellis MORRISON","16","7","8","10","2","0","1","7","1"
"Frank YOUNG","3","1","7","4","0","2","1","0","6"
"BOX 006","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","35","20","31","7","3","2","5","2","1"
"Malcolm Robert CUNNING","35","110","18","6","3","1","0","0","0"
"Sadie DOCHERTY","113","37","14","12","2","0","1","1","0"
"Glenn Alistair ELDER","34","48","19","7","4","2","2","2","1"
"Lesley INGRAM","0","5","8","3","7","4","4","1","1"
"Lisa JONES","11","8","36","9","12","4","3","0","0"
"Stewart MCDONALD","37","36","17","13","1","3","3","2","1"
"Andrew Ellis MORRISON","23","7","4","6","0","5","1","6","5"
"Frank YOUNG","4","3","12","4","3","4","1","3","6"
"BOX 007","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","49","30","31","8","10","1","1","2","1"
"Malcolm Robert CUNNING","36","91","23","15","7","1","1","1","0"
"Sadie DOCHERTY","96","43","16","20","4","3","1","0","1"
"Glenn Alistair ELDER","60","55","24","10","1","1","1","4","1"
"Lesley INGRAM","0","4","14","8","7","6","5","0","1"
"Lisa JONES","7","9","32","16","7","6","5","1","0"
"Stewart MCDONALD","47","57","20","12","4","0","2","3","1"
"Andrew Ellis MORRISON","29","12","5","2","1","2","0","5","3"
"Frank YOUNG","6","6","4","6","2","5","5","3","7"
"BOX 008","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","77","14","40","8","4","2","5","3","2"
"Malcolm Robert CUNNING","110","46","25","8","5","0","1","0","0"
"Sadie DOCHERTY","28","115","32","16","4","1","0","1","0"
"Glenn Alistair ELDER","71","40","28","11","5","2","2","4","2"
"Lesley INGRAM","2","5","15","16","11","9","3","0","0"
"Lisa JONES","12","9","23","12","11","10","4","3","1"
"Stewart MCDONALD","29","63","21","19","7","6","4","2","2"
"Andrew Ellis MORRISON","9","7","9","2","1","4","3","12","7"
"Frank YOUNG","5","5","6","8","6","1","7","2","13"
"BOX 009","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","106","19","41","7","6","3","3","1","2"
"Malcolm Robert CUNNING","125","46","15","12","3","2","2","1","1"
"Sadie DOCHERTY","20","126","27","15","6","2","4","2","1"
"Glenn Alistair ELDER","53","51","33","6","7","3","0","0","2"
"Lesley INGRAM","1","5","13","12","7","9","5","2","0"
"Lisa JONES","6","8","22","12","10","8","7","1","1"
"Stewart MCDONALD","36","58","14","20","3","4","3","3","1"
"Andrew Ellis MORRISON","25","13","8","4","4","3","1","12","5"
"Frank YOUNG","5","2","8","7","2","1","3","4","11"
"BOX 010","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","33","8","20","7","4","3","7","2","5"
"Malcolm Robert CUNNING","83","32","15","9","3","4","2","2","1"
"Sadie DOCHERTY","26","83","17","16","5","2","3","2","1"
"Glenn Alistair ELDER","47","41","16","8","5","3","3","1","1"
"Lesley INGRAM","4","4","15","10","9","9","1","4","1"
"Lisa JONES","6","7","20","10","9","5","6","1","0"
"Stewart MCDONALD","35","51","15","9","5","4","3","4","0"
"Andrew Ellis MORRISON","8","1","5","5","2","0","2","9","11"
"Frank YOUNG","3","4","8","3","4","4","4","6","8"
"BOX 011","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","29","24","24","1","2","2","0","3","1"
"Malcolm Robert CUNNING","93","19","21","7","1","2","1","0","0"
"Sadie DOCHERTY","18","96","17","8","2","1","1","1","0"
"Glenn Alistair ELDER","59","31","14","8","1","2","2","1","1"
"Lesley INGRAM","2","3","13","9","5","3","3","0","0"
"Lisa JONES","10","6","17","9","1","4","3","1","1"
"Stewart MCDONALD","30","54","13","6","3","3","2","1","0"
"Andrew Ellis MORRISON","15","4","4","0","2","1","3","4","6"
"Frank YOUNG","5","3","9","5","4","0","3","4","4"
"BOX 012 & 013","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","27","14","22","17","6","4","7","7","6"
"Malcolm Robert CUNNING","162","64","27","10","2","4","5","1","0"
"Sadie DOCHERTY","72","146","29","13","10","3","3","2","0"
"Glenn Alistair ELDER","116","28","36","14","6","4","3","2","1"
"Lesley INGRAM","7","7","29","26","14","14","4","1","1"
"Lisa JONES","3","7","38","15","10","10","11","2","1"
"Stewart MCDONALD","24","108","17","25","7","12","6","1","2"
"Andrew Ellis MORRISON","11","7","5","2","2","2","6","16","12"
"Frank YOUNG","4","11","21","8","12","2","5","12","15"
"BOX 014 & 015","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","14","8","22","8","5","6","5","3","0"
"Malcolm Robert CUNNING","169","58","24","13","3","1","1","0","0"
"Sadie DOCHERTY","66","154","21","10","5","1","1","0","2"
"Glenn Alistair ELDER","89","23","31","7","3","0","0","4","0"
"Lesley INGRAM","5","9","29","7","6","7","7","3","0"
"Lisa JONES","3","7","18","7","7","4","7","5","2"
"Stewart MCDONALD","13","81","8","22","5","2","0","0","3"
"Andrew Ellis MORRISON","10","1","4","1","5","5","5","5","9"
"Frank YOUNG","4","5","11","10","5","5","3","6","6"
"BOX 016","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","130","54","36","7","3","1","1","0","1"
"Malcolm Robert CUNNING","49","34","22","13","8","1","2","2","1"
"Sadie DOCHERTY","25","61","26","6","3","5","4","2","0"
"Glenn Alistair ELDER","62","55","18","9","5","1","3","1","1"
"Lesley INGRAM","2","7","5","11","4","7","2","3","0"
"Lisa JONES","15","20","50","25","6","3","0","2","0"
"Stewart MCDONALD","23","56","40","13","4","1","0","2","1"
"Andrew Ellis MORRISON","67","34","18","8","4","3","2","4","4"
"Frank YOUNG","0","1","10","6","4","1","3","1","8"
"BOX 017 & 018","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","8","6","11","7","4","5","3","3","3"
"Malcolm Robert CUNNING","96","119","21","12","1","2","1","3","0"
"Sadie DOCHERTY","134","89","17","9","4","0","1","0","2"
"Glenn Alistair ELDER","76","32","33","6","3","1","3","1","1"
"Lesley INGRAM","2","10","27","14","13","9","4","0","0"
"Lisa JONES","9","10","19","9","6","11","6","4","0"
"Stewart MCDONALD","19","66","19","24","4","3","4","3","0"
"Andrew Ellis MORRISON","7","2","3","2","2","1","3","9","7"
"Frank YOUNG","13","5","27","6","5","3","2","3","10"
"BOX 019","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","3","4","5","3","3","1","1","2","0"
"Malcolm Robert CUNNING","43","71","11","7","1","1","1","0","0"
"Sadie DOCHERTY","78","45","15","6","1","1","0","0","1"
"Glenn Alistair ELDER","59","12","10","4","3","3","0","2","1"
"Lesley INGRAM","5","0","12","6","2","3","0","1","1"
"Lisa JONES","5","5","12","5","4","0","3","0","0"
"Stewart MCDONALD","10","49","8","7","4","0","1","2","2"
"Andrew Ellis MORRISON","6","0","4","0","0","1","3","1","3"
"Frank YOUNG","4","9","9","7","1","4","2","2","1"
"BOX 020 & 021","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","3","6","12","8","4","4","4","9","2"
"Malcolm Robert CUNNING","47","114","12","9","4","5","2","0","2"
"Sadie DOCHERTY","124","48","15","7","5","2","2","4","0"
"Glenn Alistair ELDER","78","27","18","9","6","5","1","2","1"
"Lesley INGRAM","1","2","27","11","10","5","5","2","0"
"Lisa JONES","3","3","23","12","9","11","5","1","0"
"Stewart MCDONALD","27","65","16","11","2","4","7","2","1"
"Andrew Ellis MORRISON","9","4","4","0","3","1","1","9","15"
"Frank YOUNG","6","15","34","10","7","2","5","2","9"
"BOX 022","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","14","7","11","5","3","2","0","0","1"
"Malcolm Robert CUNNING","66","33","11","6","3","0","1","0","0"
"Sadie DOCHERTY","39","54","13","6","1","1","0","0","1"
"Glenn Alistair ELDER","65","20","18","4","4","0","0","0","2"
"Lesley INGRAM","5","9","16","3","4","3","4","1","1"
"Lisa JONES","6","5","13","5","3","6","0","3","0"
"Stewart MCDONALD","14","52","13","11","1","1","2","2","1"
"Andrew Ellis MORRISON","3","5","3","0","0","0","4","4","4"
"Frank YOUNG","3","7","12","6","3","1","1","2","0"
"BOX 023 & 024","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","3","4","10","4","4","2","8","4","2"
"Malcolm Robert CUNNING","82","43","15","7","1","2","1","2","0"
"Sadie DOCHERTY","47","74","11","9","0","0","2","1","1"
"Glenn Alistair ELDER","42","16","15","9","1","2","1","3","1"
"Lesley INGRAM","6","4","19","8","8","4","4","2","1"
"Lisa JONES","4","5","10","5","10","6","5","1","1"
"Stewart MCDONALD","12","31","9","12","9","4","2","3","2"
"Andrew Ellis MORRISON","7","6","4","2","1","5","4","4","9"
"Frank YOUNG","11","7","12","4","5","3","0","6","8"
"TOTAL POSTAL LINN","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Margot CLARK","218","127","144","37","27","14","16","20","11"
"Malcolm Robert CUNNING","399","310","141","56","17","9","10","8","2"
"Sadie DOCHERTY","326","416","91","53","25","12","7","8","3"
"Glenn Alistair ELDER","307","159","113","41","22","14","10","10","7"
"Lesley INGRAM","28","62","163","59","38","29","28","9","2"
"Lisa JONES","33","48","124","71","28","43","26","22","6"
"Stewart MCDONALD","95","252","90","69","23","13","17","16","9"
"Andrew Ellis MORRISON","155","62","38","33","14","17","14","26","55"
"Frank YOUNG","26","24","75","35","29","13","29","25","42"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

