"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 15 Maryhill-Kelvin",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 307","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","39","38","24","10","8","3","10","2"
"Euan ERSKINE","47","14","11","10","3","2","4","12"
"John LETFORD","107","23","18","10","10","4","2","2"
"Steen PARISH","30","26","64","16","7","5","3","0"
"Mohammed RAZAQ","24","53","27","9","8","9","7","2"
"Martin RHODES","63","32","16","18","8","5","8","3"
"Franny SCALLY","10","92","17","13","6","8","6","2"
"Liam TURBETT","2","5","15","17","6","9","2","12"
"BOX 308","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","76","60","35","18","9","4","8","2"
"Euan ERSKINE","52","33","17","7","5","5","9","16"
"John LETFORD","123","37","28","17","7","7","2","2"
"Steen PARISH","59","59","92","27","21","3","2","0"
"Mohammed RAZAQ","35","65","29","14","8","14","3","1"
"Martin RHODES","75","48","32","11","9","9","11","2"
"Franny SCALLY","11","97","38","31","12","4","4","1"
"Liam TURBETT","14","6","18","21","3","13","7","16"
"BOX 309","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","88","48","41","25","11","5","4","0"
"Euan ERSKINE","34","19","17","5","8","5","5","17"
"John LETFORD","115","47","28","11","8","6","7","1"
"Steen PARISH","59","62","88","25","6","3","5","1"
"Mohammed RAZAQ","35","83","35","27","8","5","3","0"
"Martin RHODES","96","46","42","29","6","9","2","0"
"Franny SCALLY","18","90","29","19","11","7","4","3"
"Liam TURBETT","2","10","19","22","2","7","8","12"
"BOX 310","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","50","26","35","17","9","4","4","3"
"Euan ERSKINE","29","18","12","10","8","0","7","15"
"John LETFORD","112","33","17","12","4","6","7","3"
"Steen PARISH","35","43","69","24","7","4","3","0"
"Mohammed RAZAQ","23","61","29","16","8","3","2","1"
"Martin RHODES","64","32","17","16","8","8","3","0"
"Franny SCALLY","17","97","30","16","6","10","4","2"
"Liam TURBETT","8","3","20","18","7","7","5","9"
"BOX 311","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","60","41","29","16","9","2","11","0"
"Euan ERSKINE","42","22","25","9","2","6","0","17"
"John LETFORD","113","36","20","13","4","9","4","1"
"Steen PARISH","36","31","72","13","11","4","3","2"
"Mohammed RAZAQ","34","63","28","15","6","9","3","2"
"Martin RHODES","61","46","27","16","11","6","5","1"
"Franny SCALLY","19","91","29","15","8","1","5","4"
"Liam TURBETT","6","9","15","22","7","5","7","9"
"BOX 312","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","47","47","33","9","7","0","3","2"
"Euan ERSKINE","54","18","14","5","4","4","5","3"
"John LETFORD","86","20","15","12","2","3","1","1"
"Steen PARISH","32","28","61","15","4","4","1","0"
"Mohammed RAZAQ","21","46","14","10","3","5","3","0"
"Martin RHODES","45","31","12","16","6","2","3","3"
"Franny SCALLY","8","67","24","12","5","1","4","1"
"Liam TURBETT","1","6","8","12","3","4","1","9"
"BOX 313 & 315","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","25","13","23","11","4","3","8","1"
"Euan ERSKINE","15","3","9","9","1","1","4","7"
"John LETFORD","65","45","20","14","9","4","0","0"
"Steen PARISH","17","12","35","12","7","7","2","3"
"Mohammed RAZAQ","120","42","18","12","5","0","1","0"
"Martin RHODES","34","105","16","12","5","4","1","0"
"Franny SCALLY","43","65","26","17","5","4","1","0"
"Liam TURBETT","5","9","17","9","5","3","5","6"
"BOX 314","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","23","17","27","13","3","3","5","0"
"Euan ERSKINE","16","5","8","4","0","5","3","8"
"John LETFORD","66","50","20","12","5","4","4","0"
"Steen PARISH","26","15","49","19","12","5","2","1"
"Mohammed RAZAQ","72","73","11","11","7","4","3","0"
"Martin RHODES","64","77","24","9","8","6","0","2"
"Franny SCALLY","56","55","22","6","5","3","3","4"
"Liam TURBETT","6","8","17","24","6","3","2","5"
"BOX 316","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","11","17","14","13","2","2","5","1"
"Euan ERSKINE","19","3","6","3","1","3","1","7"
"John LETFORD","42","54","12","9","4","1","1","0"
"Steen PARISH","14","13","24","5","4","5","3","0"
"Mohammed RAZAQ","64","43","17","6","3","3","0","0"
"Martin RHODES","45","62","13","8","4","1","1","2"
"Franny SCALLY","50","37","22","7","5","1","2","2"
"Liam TURBETT","7","3","19","9","2","4","4","3"
"BOX 317","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","16","16","25","9","8","5","4","4"
"Euan ERSKINE","18","6","6","6","7","6","7","7"
"John LETFORD","58","40","20","9","2","5","4","2"
"Steen PARISH","12","7","40","13","8","8","4","5"
"Mohammed RAZAQ","42","143","16","11","5","2","1","1"
"Martin RHODES","150","43","20","6","6","1","3","2"
"Franny SCALLY","35","53","22","14","4","3","2","6"
"Liam TURBETT","2","4","20","8","4","5","8","3"
"BOX 318","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","15","13","20","10","5","7","8","2"
"Euan ERSKINE","8","2","9","5","11","4","4","14"
"John LETFORD","50","33","12","13","2","5","6","4"
"Steen PARISH","3","10","45","11","5","5","3","3"
"Mohammed RAZAQ","31","120","11","16","4","1","0","0"
"Martin RHODES","132","40","16","6","6","2","2","1"
"Franny SCALLY","36","39","17","10","4","4","4","4"
"Liam TURBETT","1","1","18","7","8","8","6","3"
"BOX 319","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","8","9","16","7","7","1","4","4"
"Euan ERSKINE","6","3","2","3","4","3","8","6"
"John LETFORD","45","32","19","6","1","4","3","2"
"Steen PARISH","11","5","25","10","4","5","1","3"
"Mohammed RAZAQ","30","107","6","7","2","4","1","0"
"Martin RHODES","120","24","19","4","2","2","2","0"
"Franny SCALLY","27","44","13","10","6","3","2","2"
"Liam TURBETT","2","6","17","5","4","4","1","3"
"BOX 320","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","20","3","10","5","5","3","3","3"
"Euan ERSKINE","7","4","10","1","4","3","3","8"
"John LETFORD","55","28","11","12","2","3","2","1"
"Steen PARISH","6","9","31","9","4","4","2","0"
"Mohammed RAZAQ","18","118","13","7","3","3","2","1"
