"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 2 Newlands-Auldburn",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 025","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ruth BLACK","0","4","8","3","4","3","3","0","4","2","3"
"Chris CREIGHTON","3","12","16","9","8","4","1","4","0","2","0"
"Stephen CURRAN","52","61","20","6","8","0","2","1","1","0","2"
"Colin DEANS","12","19","22","8","4","10","4","2","2","1","0"
"Josephine U DOCHERTY","100","21","17","2","4","3","1","2","0","2","1"
"Emma GILLAN","54","54","16","11","1","1","2","2","0","2","1"
"Shoaib GUL","11","73","14","7","5","1","3","0","3","1","1"
"Diane HARVEY","0","2","7","4","2","5","1","4","4","2","1"
"Robert MCELROY","80","25","13","6","2","1","1","1","2","2","5"
"Michael O'DONNELL","7","18","18","13","5","1","4","2","0","3","2"
"Ben THOMSON","21","21","53","13","2","4","2","2","2","1","2"
"BOX 026","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ruth BLACK","1","5","6","6","6","2","5","4","2","1","0"
"Chris CREIGHTON","3","13","18","6","5","6","2","3","3","0","1"
"Stephen CURRAN","44","48","18","9","4","1","1","1","1","3","1"
"Colin DEANS","11","26","16","14","7","1","0","3","1","2","0"
"Josephine U DOCHERTY","84","29","22","7","3","3","1","0","3","4","0"
"Emma GILLAN","42","47","27","6","5","1","0","1","0","2","3"
"Shoaib GUL","13","59","20","8","2","3","3","1","0","1","5"
"Diane HARVEY","3","1","8","5","1","2","4","2","5","1","2"
"Robert MCELROY","128","27","33","6","1","1","3","1","1","0","2"
"Michael O'DONNELL","17","31","21","14","10","4","2","0","0","2","0"
"Ben THOMSON","23","19","37","11","10","5","2","5","0","0","1"
"BOX 027 & 028","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ruth BLACK","2","2","11","4","4","2","5","1","2","1","0"
"Chris CREIGHTON","0","6","11","10","1","5","4","1","0","0","1"
"Stephen CURRAN","86","102","19","8","3","1","0","2","0","0","1"
"Colin DEANS","10","12","22","2","8","3","2","1","1","0","0"
"Josephine U DOCHERTY","100","30","22","4","2","1","1","0","0","2","2"
"Emma GILLAN","104","72","19","5","2","1","1","1","2","0","0"
