"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 21 North East",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 443","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","35","49","7","1","2","0","0","0","0"
"Maureen BURKE","126","48","21","5","0","1","1","0","0"
"Stuart Duncan CLAY","1","3","9","4","3","2","1","0","0"
"Jamie COCOZZA","2","2","6","4","0","1","0","1","2"
"Tony KENNY","46","27","10","5","1","0","0","1","0"
"Gerry LEONARD","32","68","81","7","1","0","0","1","0"
"John Cluny MACPHERSON","2","1","4","1","0","1","2","0","0"
"Kim SCHMULIAN","7","0","2","1","2","1","0","2","1"
"Sohan SINGH","27","59","76","3","6","1","1","0","1"
"BOX 444","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","39","69","5","5","0","1","1","0","1"
"Maureen BURKE","99","43","21","3","2","0","0","0","0"
"Stuart Duncan CLAY","2","7","10","3","0","1","1","1","0"
"Jamie COCOZZA","1","1","3","2","2","0","2","0","0"
"Tony KENNY","65","34","4","1","4","0","0","1","1"
"Gerry LEONARD","27","49","68","6","2","1","0","0","0"
"John Cluny MACPHERSON","3","1","4","1","0","2","0","1","0"
"Kim SCHMULIAN","7","2","0","0","0","0","0","0","1"
"Sohan SINGH","31","46","51","6","3","1","0","0","0"
"BOX 445 & 446","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","60","89","7","10","4","2","0","3","1"
"Maureen BURKE","107","60","48","10","6","2","1","0","0"
"Stuart Duncan CLAY","6","4","23","15","4","12","6","2","2"
"Jamie COCOZZA","0","5","9","5","1","7","7","1","7"
"Tony KENNY","81","66","9","10","8","2","2","2","1"
"Gerry LEONARD","33","79","73","16","8","4","5","0","0"
"John Cluny MACPHERSON","5","4","8","7","3","5","5","8","3"
"Kim SCHMULIAN","14","3","2","1","5","2","2","8","10"
"Sohan SINGH","60","40","84","7","14","1","2","2","1"
"BOX 447","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","43","48","8","6","1","1","2","0","0"
"Maureen BURKE","84","16","13","6","1","1","0","1","0"
"Stuart Duncan CLAY","5","8","17","7","2","9","3","0","1"
"Jamie COCOZZA","1","3","4","5","3","2","2","4","4"
"Tony KENNY","49","34","5","3","6","0","2","1","0"
"Gerry LEONARD","15","51","36","4","5","1","0","0","2"
"John Cluny MACPHERSON","2","3","4","5","3","6","3","6","0"
"Kim SCHMULIAN","14","3","3","1","3","2","5","3","7"
"Sohan SINGH","2","24","52","8","5","0","2","3","2"
"BOX 448 & 449","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","37","33","5","5","2","0","0","2","0"
"Maureen BURKE","139","20","12","2","0","0","0","0","0"
"Stuart Duncan CLAY","1","3","12","5","2","2","1","0","3"
"Jamie COCOZZA","2","2","3","4","1","2","2","1","1"
"Tony KENNY","28","24","10","2","6","2","1","0","0"
"Gerry LEONARD","14","68","57","8","3","2","0","0","0"
"John Cluny MACPHERSON","3","2","2","3","0","4","3","1","0"
"Kim SCHMULIAN","2","2","3","3","2","0","2","3","1"
"Sohan SINGH","0","55","67","1","4","1","1","1","3"
"BOX 450 & 451","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","44","63","6","11","3","1","1","2","0"
"Maureen BURKE","199","25","22","2","0","0","0","0","0"
"Stuart Duncan CLAY","4","3","18","9","3","5","1","1","4"
"Jamie COCOZZA","1","1","5","11","4","1","4","3","4"
"Tony KENNY","55","42","12","7","5","3","1","0","2"
"Gerry LEONARD","17","103","67","15","6","1","0","1","0"
"John Cluny MACPHERSON","3","4","3","3","2","3","4","5","0"
