"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 6 Pollokshields",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 114","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","8","25","27","17","11","6","1","3"
"Akhtar KHAN","3","7","25","9","7","4","5","8"
"Norman MACLEOD","81","98","33","8","4","3","1","0"
"Khalil MALIK","105","105","27","1","5","3","1","0"
"Patrick MCALEER","20","35","45","16","7","8","4","2"
"David MEIKLE","81","17","10","2","5","1","8","10"
"Andrina MORRISON","3","7","9","10","4","5","8","5"
"Hanif RAJA","127","33","40","7","3","1","2","2"
"BOX 115","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","7","19","16","6","6","4","0","2"
"Akhtar KHAN","2","5","9","9","0","2","6","2"
"Norman MACLEOD","62","70","20","2","3","0","2","0"
"Khalil MALIK","75","61","16","3","0","0","1","2"
"Patrick MCALEER","9","14","29","6","4","5","0","0"
"David MEIKLE","59","12","11","4","3","1","2","4"
"Andrina MORRISON","2","7","9","10","6","5","2","1"
"Hanif RAJA","69","23","25","6","4","1","0","1"
"BOX 116","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","7","13","17","7","4","4","9","2"
"Akhtar KHAN","11","2","16","8","2","3","5","1"
"Norman MACLEOD","35","75","17","6","3","5","0","0"
"Khalil MALIK","67","57","15","2","8","2","1","1"
"Patrick MCALEER","29","19","19","9","0","6","0","3"
"David MEIKLE","16","7","8","2","4","1","2","12"
"Andrina MORRISON","1","10","9","6","11","3","3","2"
"Hanif RAJA","67","13","25","10","3","1","2","0"
"BOX 117","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","9","18","19","16","13","9","11","2"
"Akhtar KHAN","12","22","34","19","10","10","5","7"
"Norman MACLEOD","77","142","38","12","5","3","6","2"
"Khalil MALIK","148","104","38","8","3","4","4","3"
"Patrick MCALEER","44","34","39","20","12","10","3","4"
"David MEIKLE","17","8","10","14","4","9","7","21"
"Andrina MORRISON","3","9","13","12","13","7","15","6"
"Hanif RAJA","139","42","52","12","10","7","3","7"
"BOX 118","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","9","10","10","10","6","2","5","1"
"Akhtar KHAN","8","7","5","8","6","4","2","4"
"Norman MACLEOD","43","103","34","0","1","1","1","0"
"Khalil MALIK","123","59","15","1","1","0","0","0"
"Patrick MCALEER","24","29","29","9","1","5","1","3"
"David MEIKLE","15","6","4","3","4","1","5","4"
"Andrina MORRISON","2","7","8","2","6","7","2","4"
"Hanif RAJA","79","19","33","5","0","1","1","1"
"BOX 119","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","7","10","15","9","11","3","4","2"
"Akhtar KHAN","9","11","20","10","9","2","2","4"
"Norman MACLEOD","66","91","33","8","1","3","3","1"
