"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 19 Shettleston",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 397","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","10","9","23","11","4","4","1","1","1","1"
"Frank MCAVEETY","70","74","44","3","5","2","0","1","0","1"
"John MCLAUGHLIN","125","36","12","3","0","0","1","0","0","1"
"Adam MILLER","36","129","8","5","3","0","0","1","1","0"
"Andy MUIR","13","7","12","10","2","2","2","3","1","1"
"Colin RUTHERFORD","3","1","6","3","3","1","3","0","4","2"
"George RYAN","36","66","89","8","2","0","2","0","0","0"
"Anne SIMPSON","80","45","48","8","5","4","0","1","0","0"
"Richard Alan SULLIVAN","35","8","16","5","1","2","4","1","0","2"
"Marjory Marie WATT","5","15","13","9","4","2","1","1","2","1"
"BOX 398","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","3","11","18","13","8","3","2","1","0","1"
"Frank MCAVEETY","68","60","42","4","0","1","1","0","1","0"
"John MCLAUGHLIN","96","46","7","4","1","0","0","1","1","0"
"Adam MILLER","48","89","14","4","4","0","0","0","1","1"
"Andy MUIR","12","8","21","6","3","1","2","1","2","0"
"Colin RUTHERFORD","1","2","4","4","2","2","0","2","0","3"
"George RYAN","31","68","70","11","3","2","2","0","0","0"
"Anne SIMPSON","71","41","57","7","4","1","1","2","0","0"
"Richard Alan SULLIVAN","24","5","12","8","1","2","1","0","2","1"
"Marjory Marie WATT","6","8","12","4","5","4","2","1","0","1"
"BOX 399","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","6","9","17","11","2","3","0","2","1","0"
"Frank MCAVEETY","71","72","38","3","4","0","0","0","1","0"
"John MCLAUGHLIN","105","36","4","4","2","1","2","0","0","0"
"Adam MILLER","32","106","11","5","1","1","1","1","0","0"
"Andy MUIR","8","12","28","6","1","2","3","0","0","0"
"Colin RUTHERFORD","4","3","12","9","1","1","0","2","1","1"
"George RYAN","44","75","75","6","2","1","1","0","0","0"
"Anne SIMPSON","82","28","61","8","3","1","0","1","0","0"
"Richard Alan SULLIVAN","35","8","13","6","0","0","0","1","2","1"
"Marjory Marie WATT","5","9","9","2","5","1","0","0","1","3"
"BOX 400","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","2","3","13","16","4","3","2","5","1","0"
"Frank MCAVEETY","39","78","35","3","5","0","0","3","0","1"
"John MCLAUGHLIN","41","51","7","3","3","0","0","1","1","1"
"Adam MILLER","55","42","4","4","4","2","1","0","1","1"
"Andy MUIR","11","4","16","9","0","6","6","2","2","0"
"Colin RUTHERFORD","1","8","10","4","3","4","3","1","1","1"
"George RYAN","110","35","18","10","4","1","2","0","0","0"
"Anne SIMPSON","5","27","95","13","7","4","1","1","0","0"
"Richard Alan SULLIVAN","11","4","2","3","3","0","0","0","3","7"
"Marjory Marie WATT","2","5","6","4","3","1","1","3","4","1"
"BOX 401","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","5","5","21","7","7","3","5","0","0","0"
"Frank MCAVEETY","60","106","35","9","2","1","1","2","0","1"
"John MCLAUGHLIN","38","56","5","3","2","2","1","0","0","0"
"Adam MILLER","61","38","11","4","3","0","1","1","1","0"
"Andy MUIR","3","8","9","5","2","3","1","3","1","0"
"Colin RUTHERFORD","2","2","10","7","3","2","2","4","0","0"
"George RYAN","155","44","28","7","2","1","0","0","2","0"
"Anne SIMPSON","3","39","129","4","3","2","0","0","0","2"
"Richard Alan SULLIVAN","14","5","6","2","0","2","0","0","0","4"
"Marjory Marie WATT","5","8","4","6","1","0","1","1","3","0"
"BOX 402","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","4","6","14","6","3","1","0","0","0","0"
"Frank MCAVEETY","67","86","52","4","1","1","1","0","0","1"
"John MCLAUGHLIN","70","28","2","1","6","1","0","1","0","0"
"Adam MILLER","17","59","9","4","2","3","0","0","1","0"
"Andy MUIR","2","3","10","2","1","2","1","1","0","0"
"Colin RUTHERFORD","1","4","8","4","2","0","1","1","0","0"
"George RYAN","14","94","86","10","2","0","1","0","0","0"
"Anne SIMPSON","142","29","61","5","4","0","0","1","0","0"
"Richard Alan SULLIVAN","7","0","1","3","1","0","0","0","2","1"
"Marjory Marie WATT","2","2","2","4","1","1","0","0","1","1"
"BOX 403","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","2","6","12","5","4","4","0","1","2","1"
"Frank MCAVEETY","58","103","50","4","2","1","2","0","0","0"
"John MCLAUGHLIN","52","21","6","11","1","1","0","1","0","1"
"Adam MILLER","17","46","7","5","8","1","0","0","2","0"
"Andy MUIR","2","4","10","4","4","2","4","0","0","1"
"Colin RUTHERFORD","3","2","5","9","5","2","3","1","0","3"
"George RYAN","8","65","110","6","5","1","0","0","0","0"
"Anne SIMPSON","164","32","32","7","3","0","0","1","0","0"
"Richard Alan SULLIVAN","3","2","1","6","1","0","0","4","3","1"
"Marjory Marie WATT","1","0","3","5","2","2","1","2","2","2"
"BOX 404","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","6","4","9","8","7","4","0","1","0","0"
"Frank MCAVEETY","152","16","13","2","2","1","0","0","0","0"
"John MCLAUGHLIN","48","22","4","8","0","0","0","0","2","0"
"Adam MILLER","20","38","5","1","6","0","0","0","0","2"
"Andy MUIR","2","4","9","7","3","3","2","0","2","1"
"Colin RUTHERFORD","3","1","5","7","0","0","1","1","2","0"
"George RYAN","6","65","86","6","2","0","0","1","0","0"
"Anne SIMPSON","4","83","65","5","4","3","1","0","0","0"
"Richard Alan SULLIVAN","6","1","6","2","0","0","2","1","0","4"
"Marjory Marie WATT","1","0","3","4","3","0","3","3","1","0"
"BOX 405","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","4","5","14","5","2","1","0","0","0","1"
"Frank MCAVEETY","127","9","11","4","2","0","0","0","0","1"
"John MCLAUGHLIN","43","30","7","0","1","0","0","0","2","0"
"Adam MILLER","25","42","4","0","1","2","0","1","0","1"
"Andy MUIR","0","3","9","2","0","1","2","1","0","1"
"Colin RUTHERFORD","6","1","5","6","1","1","1","0","0","0"
"George RYAN","5","48","67","4","3","0","0","1","1","0"
"Anne SIMPSON","4","64","53","4","3","2","1","1","1","0"
"Richard Alan SULLIVAN","3","1","3","0","1","0","1","1","1","2"
"Marjory Marie WATT","1","3","2","3","1","2","1","1","1","0"
"BOX 406","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","5","8","10","9","3","2","1","1","0","1"
"Frank MCAVEETY","138","6","19","2","1","0","1","0","0","2"
"John MCLAUGHLIN","41","29","5","1","1","0","5","0","1","2"
"Adam MILLER","21","37","9","5","1","2","1","2","2","1"
"Andy MUIR","4","2","8","9","3","2","0","0","0","0"
"Colin RUTHERFORD","5","4","6","4","5","2","1","1","1","0"
"George RYAN","11","68","61","6","3","2","0","0","1","0"
"Anne SIMPSON","5","68","67","1","4","3","1","2","0","0"
"Richard Alan SULLIVAN","11","1","2","3","1","0","2","1","3","0"
"Marjory Marie WATT","3","3","2","3","1","2","1","2","0","1"
"BOX 407 & 408","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","2","3","26","9","8","1","2","0","2","0"
"Frank MCAVEETY","114","30","47","5","1","1","0","0","1","0"
"John MCLAUGHLIN","66","39","5","2","0","1","0","2","0","1"
"Adam MILLER","36","58","8","4","0","0","2","0","3","0"
"Andy MUIR","2","7","11","4","4","3","1","1","0","0"
"Colin RUTHERFORD","5","6","10","8","0","0","3","3","0","1"
"George RYAN","32","102","40","4","5","0","0","1","0","1"
"Anne SIMPSON","58","30","73","5","2","5","0","1","2","0"
"Richard Alan SULLIVAN","12","4","1","3","1","0","0","1","1","6"
"Marjory Marie WATT","0","3","6","1","1","3","2","1","1","1"
"BOX 409 & 410","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","6","1","27","13","2","1","1","1","0","0"
"Frank MCAVEETY","240","26","19","3","1","1","1","0","1","0"
"John MCLAUGHLIN","79","42","9","4","5","0","2","0","1","0"
"Adam MILLER","44","74","11","5","4","2","1","0","1","2"
"Andy MUIR","1","4","13","7","8","1","1","3","1","0"
"Colin RUTHERFORD","2","6","13","8","2","4","1","2","0","2"
"George RYAN","17","198","28","5","5","0","1","0","0","0"
"Anne SIMPSON","10","24","192","10","1","2","0","1","0","0"
"Richard Alan SULLIVAN","9","4","6","3","1","0","1","1","2","4"
"Marjory Marie WATT","4","5","8","3","2","1","1","2","3","1"
"BOX 411 & 412","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","11","5","12","5","1","3","2","1","0","1"
"Frank MCAVEETY","87","22","22","2","4","1","0","1","1","0"
"John MCLAUGHLIN","56","43","5","6","1","1","1","0","2","0"
"Adam MILLER","37","53","15","0","5","1","0","1","0","1"
"Andy MUIR","0","3","5","8","1","3","2","1","1","1"
"Colin RUTHERFORD","1","2","8","7","2","3","2","3","1","1"
"George RYAN","24","69","30","5","3","2","3","0","0","0"
"Anne SIMPSON","22","25","61","6","5","3","0","3","0","0"
"Richard Alan SULLIVAN","8","2","3","5","0","0","1","1","2","3"
"Marjory Marie WATT","4","2","5","4","4","0","2","1","2","0"
"BOX 413","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","1","6","19","9","2","3","0","0","1","0"
"Frank MCAVEETY","39","50","100","4","9","0","0","0","0","0"
"John MCLAUGHLIN","40","63","5","1","1","0","0","3","1","0"
"Adam MILLER","66","41","13","5","1","0","0","0","2","1"
"Andy MUIR","2","4","12","9","3","1","3","0","1","1"
"Colin RUTHERFORD","3","2","7","4","4","4","0","0","0","3"
"George RYAN","161","23","23","5","0","0","1","0","0","0"
"Anne SIMPSON","8","109","60","11","0","1","0","1","0","0"
"Richard Alan SULLIVAN","9","3","5","2","1","2","1","1","1","1"
"Marjory Marie WATT","0","1","2","5","5","1","2","1","0","0"
"BOX 414","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Stuart LECKIE","1","2","17","7","6","4","1","0","0","0"
"Frank MCAVEETY","43","36","96","5","3","1","1","0","0","0"
"John MCLAUGHLIN","32","58","2","4","1","1","0","2","0","0"
