"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 8 Southside Central",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 151","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","3","6","12","12","5","3","0","2","0","2"
"Thomas Muirhead CONNOR","3","0","4","2","1","0","1","2","3","2"
"Moira Ann CRAWFORD","40","18","36","12","5","3","1","2","0","0"
"Jean DOUGLAS","1","0","0","0","0","1","2","1","4","2"
"Jahangir HANIF","81","57","21","11","1","2","0","0","1","0"
"Mhairi HUNTER","36","77","29","14","4","0","1","0","0","0"
"David Mansfield JAGO","2","6","6","5","7","3","5","1","1","0"
"Anne-Marie MILLAR","16","19","19","5","5","4","0","1","1","1"
"James SCANLON","30","37","23","9","5","2","2","2","0","1"
"Soryia SIDDIQUE","50","28","18","15","3","1","3","1","0","1"
"BOX 152","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","2","5","13","9","4","1","2","1","1","1"
"Thomas Muirhead CONNOR","9","2","8","4","4","0","0","3","4","2"
"Moira Ann CRAWFORD","28","27","29","18","9","3","0","0","0","0"
"Jean DOUGLAS","1","3","2","1","2","1","1","2","2","5"
"Jahangir HANIF","68","37","15","5","2","1","1","0","2","1"
"Mhairi HUNTER","29","68","21","7","2","1","1","2","0","1"
"David Mansfield JAGO","1","7","4","13","1","3","3","2","2","0"
"Anne-Marie MILLAR","35","18","24","7","4","2","2","1","1","2"
"James SCANLON","45","43","16","12","4","3","3","0","0","1"
"Soryia SIDDIQUE","55","38","16","9","4","2","2","2","1","0"
"BOX 153","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","6","10","14","16","6","3","3","3","3","1"
"Thomas Muirhead CONNOR","5","4","5","1","4","1","2","1","2","6"
"Moira Ann CRAWFORD","57","16","34","19","4","2","1","2","0","0"
"Jean DOUGLAS","2","2","2","0","1","1","2","3","5","4"
"Jahangir HANIF","63","49","15","12","3","0","1","0","0","0"
"Mhairi HUNTER","43","70","24","11","3","3","2","0","0","0"
"David Mansfield JAGO","4","6","14","8","6","4","4","2","3","1"
"Anne-Marie MILLAR","9","14","14","14","14","7","0","5","1","1"
"James SCANLON","31","32","20","8","7","5","3","0","3","0"
