"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 17 Springburn",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 353 & 354","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Sophie BRIDGER","4","4","4","3","4","5","2","0","2","2"
"Joe CHAMBERS","51","15","35","5","3","0","2","0","2","1"
"Gilbert DAVIDSON","63","91","23","3","1","3","1","1","0","0"
"Jason Patrick ECCLES","1","2","4","3","1","1","3","2","2","3"
"Phil GREENE","42","30","12","10","2","0","0","2","1","1"
"Christopher HENDERSON","2","2","11","6","3","6","1","2","1","0"
"Luke IVORY","0","1","0","3","3","1","5","5","2","0"
"James OAKES","26","41","12","7","4","0","2","0","0","1"
"Allan STEWART","83","56","19","6","1","2","1","0","2","0"
"John STUART","1","4","20","3","3","2","1","3","0","2"
"BOX 355 & 356","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Sophie BRIDGER","5","2","17","4","4","4","6","3","4","2"
"Joe CHAMBERS","33","15","29","7","5","5","3","3","1","1"
"Gilbert DAVIDSON","228","43","23","3","2","0","0","2","2","1"
"Jason Patrick ECCLES","7","2","10","5","4","2","3","4","1","6"
"Phil GREENE","120","40","27","7","3","3","2","2","2","1"
"Christopher HENDERSON","1","8","16","8","8","6","4","1","2","1"
"Luke IVORY","1","5","8","7","5","5","2","3","2","2"
"James OAKES","20","112","19","17","5","5","1","2","2","2"
"Allan STEWART","21","180","27","14","3","1","1","1","4","1"
"John STUART","6","5","39","11","8","3","3","1","1","3"
"BOX 357 & 358","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Sophie BRIDGER","2","0","4","4","1","2","0","0","2","2"
"Joe CHAMBERS","48","14","21","2","1","1","0","0","1","0"
"Gilbert DAVIDSON","67","84","21","4","2","1","1","1","0","0"
"Jason Patrick ECCLES","0","1","3","0","1","2","0","0","2","3"
"Phil GREENE","43","24","14","9","2","0","2","1","0","0"
"Christopher HENDERSON","0","2","4","5","0","2","4","0","0","0"
"Luke IVORY","0","0","5","3","4","1","0","3","0","0"
"James OAKES","15","43","10","8","5","0","0","1","2","0"
"Allan STEWART","76","47","26","7","1","0","2","2","0","1"
"John STUART","6","9","15","2","5","1","0","1","2","1"
"BOX 359 & 360","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Sophie BRIDGER","6","3","7","5","3","3","2","1","2","4"
"Joe CHAMBERS","6","2","14","6","6","1","2","6","1","0"
"Gilbert DAVIDSON","154","34","17","6","1","1","0","2","1","0"
"Jason Patrick ECCLES","14","3","1","3","1","0","4","0","3","5"
"Phil GREENE","79","29","15","3","1","2","1","1","1","2"
"Christopher HENDERSON","1","6","14","7","2","5","3","1","2","0"
"Luke IVORY","1","6","9","5","4","2","4","2","3","1"
"James OAKES","28","71","15","8","0","1","0","2","1","1"
"Allan STEWART","30","132","14","9","1","2","0","1","1","1"
"John STUART","4","5","21","4","6","3","1","1","2","1"
"BOX 361","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Sophie BRIDGER","5","3","2","3","5","2","4","1","1","1"
"Joe CHAMBERS","3","4","11","5","3","0","2","3","2","0"
"Gilbert DAVIDSON","99","9","19","3","4","0","0","0","1","1"
"Jason Patrick ECCLES","7","3","3","2","0","1","1","0","2","5"
"Phil GREENE","46","18","14","1","0","3","0","1","1","1"
"Christopher HENDERSON","0","2","5","5","2","4","0","1","1","2"
"Luke IVORY","4","1","3","4","1","2","4","3","1","0"
"James OAKES","21","46","1","3","1","0","0","2","2","1"
"Allan STEWART","12","87","11","9","1","1","0","2","1","0"
